order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,tax_rate
L20260313-0001541,O20260313-000605,P00048,1,71.42,SKU-00048,1.50,0.00
L20260313-0001542,O20260313-000606,P00044,1,216.91,SKU-00044,1.50,0.00
L20260313-0001543,O20260313-000606,P00105,3,262.46,SKU-00105,5.00,0.10
L20260313-0001544,O20260313-000607,P00025,1,138.71,SKU-00025,1.50,0.07
L20260313-0001545,O20260313-000607,P00017,1,188.62,SKU-00017,5.00,0.00
L20260313-0001546,O20260313-000608,P00016,1,230.65,SKU-00016,1.50,0.10
L20260313-0001547,O20260313-000608,P00008,2,137.16,SKU-00008,1.50,0.25
L20260313-0001548,O20260313-000609,P00008,1,137.16,SKU-00008,0.00,0.07
L20260313-0001549,O20260313-000609,P00062,2,71.15,SKU-00062,1.50,0.25
L20260313-0001550,O20260313-000610,P00050,1,15.11,SKU-00050,5.00,0.10
L20260313-0001551,O20260313-000611,P00044,3,216.91,SKU-00044,0.00,0.25
L20260313-0001552,O20260313-000611,P00010,1,171.97,SKU-00010,0.00,0.20
L20260313-0001553,O20260313-000611,P00017,2,188.62,SKU-00017,1.50,0.20
L20260313-0001554,O20260313-000611,P00066,2,10.75,SKU-00066,1.50,0.20
L20260313-0001555,O20260313-000612,P00016,2,230.65,SKU-00016,0.00,0.00
L20260313-0001556,O20260313-000612,P00085,3,67.36,SKU-00085,1.50,0.10
L20260313-0001557,O20260313-000612,P00022,1,70.70,SKU-00022,0.00,0.10
L20260313-0001558,O20260313-000612,P00041,1,243.67,SKU-00041,1.50,0.07
L20260313-0001559,O20260313-000613,P00039,1,49.71,SKU-00039,0.00,0.25
L20260313-0001560,O20260313-000614,P00082,1,141.76,SKU-00082,1.50,0.20
L20260313-0001561,O20260313-000614,P00033,1,222.37,SKU-00033,0.00,0.00
L20260313-0001562,O20260313-000614,P00081,1,102.43,SKU-00081,5.00,0.00
L20260313-0001563,O20260313-000614,P00039,3,49.71,SKU-00039,3.00,0.20
L20260313-0001564,O20260313-000615,P00107,3,155.56,SKU-00107,0.00,0.07
L20260313-0001565,O20260313-000615,P00072,2,143.56,SKU-00072,1.50,0.00
L20260313-0001566,O20260313-000615,P00044,2,216.91,SKU-00044,5.00,0.10
L20260313-0001567,O20260313-000615,P00067,1,109.86,SKU-00067,5.00,0.10
L20260313-0001568,O20260313-000616,P00090,2,34.54,SKU-00090,3.00,0.07
L20260313-0001569,O20260313-000616,P00066,1,10.75,SKU-00066,3.00,0.20
L20260313-0001570,O20260313-000616,P00022,1,70.70,SKU-00022,1.50,0.07
L20260313-0001571,O20260313-000617,P00022,3,70.70,SKU-00022,0.00,0.07
L20260313-0001572,O20260313-000617,P00014,3,22.31,SKU-00014,0.00,0.10
L20260313-0001573,O20260313-000617,P00039,2,49.71,SKU-00039,0.00,0.25
L20260313-0001574,O20260313-000617,P00033,1,222.37,SKU-00033,0.00,0.00
L20260313-0001575,O20260313-000618,P00012,1,60.77,SKU-00012,5.00,0.25
L20260313-0001576,O20260313-000618,P00002,3,112.31,SKU-00002,3.00,0.20
L20260313-0001577,O20260313-000618,P00018,2,7.46,SKU-00018,3.00,0.00
L20260313-0001578,O20260313-000619,P00075,1,144.44,SKU-00075,3.00,0.07
L20260313-0001579,O20260313-000620,P00083,1,60.39,SKU-00083,0.00,0.07
L20260313-0001580,O20260313-000620,P00011,3,51.47,SKU-00011,0.00,0.07
L20260313-0001581,O20260313-000620,P00023,1,170.56,SKU-00023,0.00,0.10
L20260313-0001582,O20260313-000621,P00049,1,130.32,SKU-00049,0.00,0.20
L20260313-0001583,O20260313-000621,P00063,1,96.72,SKU-00063,1.50,0.20
L20260313-0001584,O20260313-000622,P00107,1,155.56,SKU-00107,3.00,0.20
L20260313-0001585,O20260313-000622,P00091,3,176.65,SKU-00091,1.50,0.00
L20260313-0001586,O20260313-000622,P00060,1,274.02,SKU-00060,0.00,0.10
L20260313-0001587,O20260313-000622,P00055,1,102.20,SKU-00055,0.00,0.00
L20260313-0001588,O20260313-000623,P00002,3,112.31,SKU-00002,1.50,0.10
L20260313-0001589,O20260313-000624,P00092,1,168.91,SKU-00092,3.00,0.10
L20260313-0001590,O20260313-000624,P00096,1,48.69,SKU-00096,3.00,0.07
L20260313-0001591,O20260313-000625,P00067,1,109.86,SKU-00067,3.00,0.20
L20260313-0001592,O20260313-000625,P00027,1,108.58,SKU-00027,5.00,0.10
L20260313-0001593,O20260313-000625,P00036,2,314.75,SKU-00036,0.00,0.20
L20260313-0001594,O20260313-000625,P00071,2,129.32,SKU-00071,0.00,0.00
L20260313-0001595,O20260313-000626,P00023,1,170.56,SKU-00023,0.00,0.00
L20260313-0001596,O20260313-000626,P00057,1,50.52,SKU-00057,1.50,0.10
L20260313-0001597,O20260313-000627,P00045,2,290.65,SKU-00045,1.50,0.07
L20260313-0001598,O20260313-000627,P00073,1,35.38,SKU-00073,0.00,0.10
L20260313-0001599,O20260313-000627,P00029,2,87.92,SKU-00029,0.00,0.20
L20260313-0001600,O20260313-000628,P00026,3,37.14,SKU-00026,3.00,0.10
L20260313-0001601,O20260313-000628,P00077,1,157.08,SKU-00077,0.00,0.25
L20260313-0001602,O20260313-000629,P00095,1,130.25,SKU-00095,0.00,0.00
L20260313-0001603,O20260313-000629,P00042,3,93.45,SKU-00042,5.00,0.00
L20260313-0001604,O20260313-000629,P00062,3,71.15,SKU-00062,0.00,0.10
L20260313-0001605,O20260313-000629,P00109,2,202.31,SKU-00109,0.00,0.10
L20260313-0001606,O20260313-000630,P00036,1,314.75,SKU-00036,3.00,0.00
L20260313-0001607,O20260313-000630,P00070,2,82.95,SKU-00070,1.50,0.20
L20260313-0001608,O20260313-000630,P00017,2,188.62,SKU-00017,0.00,0.20
L20260313-0001609,O20260313-000631,P00067,1,109.86,SKU-00067,5.00,0.25
L20260313-0001610,O20260313-000632,P00119,1,289.27,SKU-00119,5.00,0.00
L20260313-0001611,O20260313-000632,P00006,2,30.11,SKU-00006,5.00,0.20
L20260313-0001612,O20260313-000632,P00053,2,91.53,SKU-00053,0.00,0.10
L20260313-0001613,O20260313-000632,P00057,1,50.52,SKU-00057,3.00,0.25
L20260313-0001614,O20260313-000633,P00083,2,60.39,SKU-00083,0.00,0.00
L20260313-0001615,O20260313-000633,P00114,1,246.88,SKU-00114,5.00,0.07
L20260313-0001616,O20260313-000633,P00053,2,91.53,SKU-00053,5.00,0.10
L20260313-0001617,O20260313-000633,P00066,2,10.75,SKU-00066,5.00,0.25
L20260313-0001618,O20260313-000634,P00087,3,108.17,SKU-00087,0.00,0.20
L20260313-0001619,O20260313-000634,P00027,1,108.58,SKU-00027,0.00,0.25
L20260313-0001620,O20260313-000634,P00109,1,202.31,SKU-00109,1.50,0.00
L20260313-0001621,O20260313-000635,P00089,2,221.76,SKU-00089,0.00,0.10
L20260313-0001622,O20260313-000636,P00088,2,237.21,SKU-00088,0.00,0.20
L20260313-0001623,O20260313-000636,P00008,1,137.16,SKU-00008,3.00,0.07
L20260313-0001624,O20260313-000636,P00075,3,144.44,SKU-00075,0.00,0.25
L20260313-0001625,O20260313-000636,P00069,1,154.69,SKU-00069,3.00,0.00
L20260313-0001626,O20260313-000637,P00099,1,80.35,SKU-00099,3.00,0.00
L20260313-0001627,O20260313-000637,P00001,3,124.15,SKU-00001,3.00,0.10
L20260313-0001628,O20260313-000638,P00021,1,85.06,SKU-00021,0.00,0.25
L20260313-0001629,O20260313-000638,P00031,1,37.45,SKU-00031,1.50,0.25
L20260313-0001630,O20260313-000638,P00100,3,132.98,SKU-00100,5.00,0.20
L20260313-0001631,O20260313-000639,P00009,3,17.27,SKU-00009,1.50,0.25
L20260313-0001632,O20260313-000639,P00034,3,159.22,SKU-00034,5.00,0.07
L20260313-0001633,O20260313-000640,P00085,1,67.36,SKU-00085,0.00,0.07
L20260313-0001634,O20260313-000640,P00015,2,114.30,SKU-00015,3.00,0.25
L20260313-0001635,O20260313-000640,P00083,1,60.39,SKU-00083,0.00,0.00
L20260313-0001636,O20260313-000641,P00014,2,22.31,SKU-00014,1.50,0.25
L20260313-0001637,O20260313-000642,P00001,1,124.15,SKU-00001,3.00,0.00
L20260313-0001638,O20260313-000642,P00077,1,157.08,SKU-00077,3.00,0.10
L20260313-0001639,O20260313-000642,P00027,1,108.58,SKU-00027,5.00,0.25
L20260313-0001640,O20260313-000643,P00059,1,6.15,SKU-00059,3.00,0.07
L20260313-0001641,O20260313-000644,P00084,1,90.61,SKU-00084,1.50,0.25
L20260313-0001642,O20260313-000644,P00003,2,137.80,SKU-00003,0.00,0.25
L20260313-0001643,O20260313-000645,P00081,1,102.43,SKU-00081,0.00,0.00
L20260313-0001644,O20260313-000645,P00120,3,94.97,SKU-00120,0.00,0.25
L20260313-0001645,O20260313-000645,P00061,2,230.08,SKU-00061,3.00,0.07
L20260313-0001646,O20260313-000645,P00018,1,7.46,SKU-00018,0.00,0.25
L20260313-0001647,O20260313-000646,P00119,2,289.27,SKU-00119,0.00,0.10
L20260313-0001648,O20260313-000646,P00103,3,131.37,SKU-00103,3.00,0.07
L20260313-0001649,O20260313-000647,P00116,1,120.21,SKU-00116,0.00,0.07
L20260313-0001650,O20260313-000647,P00104,1,71.48,SKU-00104,1.50,0.07
L20260313-0001651,O20260313-000647,P00003,3,137.80,SKU-00003,0.00,0.07
L20260313-0001652,O20260313-000647,P00002,1,112.31,SKU-00002,5.00,0.10
L20260313-0001653,O20260313-000648,P00032,3,78.43,SKU-00032,3.00,0.20
L20260313-0001654,O20260313-000649,P00032,2,78.43,SKU-00032,1.50,0.07
L20260313-0001655,O20260313-000649,P00029,2,87.92,SKU-00029,1.50,0.25
L20260313-0001656,O20260313-000649,P00057,1,50.52,SKU-00057,1.50,0.00
L20260313-0001657,O20260313-000650,P00108,3,188.64,SKU-00108,5.00,0.07
L20260313-0001658,O20260313-000650,P00073,2,35.38,SKU-00073,3.00,0.07
L20260313-0001659,O20260313-000650,P00053,1,91.53,SKU-00053,0.00,0.07
L20260313-0001660,O20260313-000651,P00104,2,71.48,SKU-00104,5.00,0.25
L20260313-0001661,O20260313-000651,P00017,1,188.62,SKU-00017,5.00,0.10
L20260313-0001662,O20260313-000651,P00018,1,7.46,SKU-00018,1.50,0.07
L20260313-0001663,O20260313-000651,P00073,3,35.38,SKU-00073,0.00,0.00
L20260313-0001664,O20260313-000652,P00120,3,94.97,SKU-00120,5.00,0.20
L20260313-0001665,O20260313-000652,P00049,3,130.32,SKU-00049,5.00,0.25
L20260313-0001666,O20260313-000652,P00078,3,203.66,SKU-00078,0.00,0.07
L20260313-0001667,O20260313-000652,P00111,2,155.49,SKU-00111,5.00,0.25
L20260313-0001668,O20260313-000653,P00048,2,71.42,SKU-00048,0.00,0.10
L20260313-0001669,O20260313-000653,P00023,1,170.56,SKU-00023,5.00,0.10
L20260313-0001670,O20260313-000654,P00098,3,27.94,SKU-00098,0.00,0.07
L20260313-0001671,O20260313-000654,P00001,1,124.15,SKU-00001,1.50,0.10
L20260313-0001672,O20260313-000655,P00120,2,94.97,SKU-00120,0.00,0.25
L20260313-0001673,O20260313-000655,P00085,1,67.36,SKU-00085,0.00,0.10
L20260313-0001674,O20260313-000655,P00003,1,137.80,SKU-00003,5.00,0.25
L20260313-0001675,O20260313-000655,P00082,3,141.76,SKU-00082,3.00,0.07
L20260313-0001676,O20260313-000656,P00083,1,60.39,SKU-00083,3.00,0.10
L20260313-0001677,O20260313-000656,P00090,1,34.54,SKU-00090,1.50,0.00
L20260313-0001678,O20260313-000656,P00020,1,173.61,SKU-00020,5.00,0.07
L20260313-0001679,O20260313-000656,P00004,3,182.76,SKU-00004,3.00,0.20
L20260313-0001680,O20260313-000657,P00072,3,143.56,SKU-00072,3.00,0.07
L20260313-0001681,O20260313-000657,P00052,3,257.89,SKU-00052,0.00,0.00
L20260313-0001682,O20260313-000657,P00032,1,78.43,SKU-00032,3.00,0.25
L20260313-0001683,O20260313-000658,P00074,1,101.93,SKU-00074,3.00,0.07
L20260313-0001684,O20260313-000658,P00102,1,104.40,SKU-00102,3.00,0.10
L20260313-0001685,O20260313-000658,P00029,1,87.92,SKU-00029,0.00,0.20
L20260313-0001686,O20260313-000658,P00007,2,29.79,SKU-00007,3.00,0.20
L20260313-0001687,O20260313-000659,P00045,1,290.65,SKU-00045,0.00,0.20
L20260313-0001688,O20260313-000659,P00023,1,170.56,SKU-00023,0.00,0.10
L20260313-0001689,O20260313-000659,P00062,1,71.15,SKU-00062,0.00,0.20
L20260313-0001690,O20260313-000659,P00024,1,218.72,SKU-00024,1.50,0.10
L20260313-0001691,O20260313-000660,P00100,1,132.98,SKU-00100,3.00,0.20
L20260313-0001692,O20260313-000661,P00111,1,155.49,SKU-00111,0.00,0.10
L20260313-0001693,O20260313-000661,P00061,2,230.08,SKU-00061,1.50,0.00
L20260313-0001694,O20260313-000661,P00118,3,250.87,SKU-00118,1.50,0.00
L20260313-0001695,O20260313-000661,P00022,3,70.70,SKU-00022,5.00,0.10
L20260313-0001696,O20260313-000662,P00033,1,222.37,SKU-00033,5.00,0.00
L20260313-0001697,O20260313-000662,P00045,3,290.65,SKU-00045,0.00,0.00
L20260313-0001698,O20260313-000663,P00086,1,41.51,SKU-00086,0.00,0.25
L20260313-0001699,O20260313-000663,P00063,2,96.72,SKU-00063,0.00,0.00
L20260313-0001700,O20260313-000663,P00115,1,138.97,SKU-00115,1.50,0.10
L20260313-0001701,O20260313-000663,P00003,1,137.80,SKU-00003,5.00,0.25
L20260313-0001702,O20260313-000664,P00088,1,237.21,SKU-00088,5.00,0.20
L20260313-0001703,O20260313-000665,P00031,3,37.45,SKU-00031,1.50,0.25
L20260313-0001704,O20260313-000666,P00085,2,67.36,SKU-00085,5.00,0.25
L20260313-0001705,O20260313-000667,P00078,1,203.66,SKU-00078,0.00,0.20
L20260313-0001706,O20260313-000667,P00077,1,157.08,SKU-00077,0.00,0.07
L20260313-0001707,O20260313-000668,P00008,1,137.16,SKU-00008,5.00,0.20
L20260313-0001708,O20260313-000668,P00065,3,137.52,SKU-00065,0.00,0.20
L20260313-0001709,O20260313-000669,P00006,3,30.11,SKU-00006,0.00,0.00
L20260313-0001710,O20260313-000669,P00012,3,60.77,SKU-00012,1.50,0.07
L20260313-0001711,O20260313-000669,P00110,1,85.31,SKU-00110,3.00,0.20
L20260313-0001712,O20260313-000669,P00036,3,314.75,SKU-00036,1.50,0.25
L20260313-0001713,O20260313-000670,P00031,1,37.45,SKU-00031,0.00,0.00
L20260313-0001714,O20260313-000670,P00103,1,131.37,SKU-00103,0.00,0.00
L20260313-0001715,O20260313-000670,P00061,1,230.08,SKU-00061,3.00,0.20
L20260313-0001716,O20260313-000670,P00038,2,122.02,SKU-00038,0.00,0.25
L20260313-0001717,O20260313-000671,P00057,1,50.52,SKU-00057,1.50,0.20
L20260313-0001718,O20260313-000672,P00074,1,101.93,SKU-00074,3.00,0.20
L20260313-0001719,O20260313-000672,P00053,1,91.53,SKU-00053,0.00,0.10
L20260313-0001720,O20260313-000673,P00018,2,7.46,SKU-00018,0.00,0.25
L20260313-0001721,O20260313-000674,P00105,3,262.46,SKU-00105,3.00,0.00
L20260313-0001722,O20260313-000674,P00007,1,29.79,SKU-00007,0.00,0.20
L20260313-0001723,O20260313-000674,P00031,2,37.45,SKU-00031,0.00,0.10
L20260313-0001724,O20260313-000674,P00114,1,246.88,SKU-00114,3.00,0.10
L20260313-0001725,O20260313-000675,P00002,1,112.31,SKU-00002,5.00,0.00
L20260313-0001726,O20260313-000676,P00082,1,141.76,SKU-00082,0.00,0.10
L20260313-0001727,O20260313-000676,P00044,1,216.91,SKU-00044,0.00,0.20
L20260313-0001728,O20260313-000677,P00030,1,214.54,SKU-00030,5.00,0.07
L20260313-0001729,O20260313-000677,P00092,3,168.91,SKU-00092,3.00,0.00
L20260313-0001730,O20260313-000677,P00105,2,262.46,SKU-00105,1.50,0.10
L20260313-0001731,O20260313-000678,P00006,1,30.11,SKU-00006,1.50,0.25
L20260313-0001732,O20260313-000678,P00043,1,58.92,SKU-00043,5.00,0.00
L20260313-0001733,O20260313-000679,P00092,3,168.91,SKU-00092,5.00,0.20
L20260313-0001734,O20260313-000680,P00037,1,162.77,SKU-00037,1.50,0.20
L20260313-0001735,O20260313-000680,P00077,1,157.08,SKU-00077,0.00,0.00
L20260313-0001736,O20260313-000681,P00090,2,34.54,SKU-00090,3.00,0.00
L20260313-0001737,O20260313-000681,P00054,1,190.10,SKU-00054,1.50,0.25
L20260313-0001738,O20260313-000681,P00038,2,122.02,SKU-00038,0.00,0.20
L20260313-0001739,O20260313-000682,P00103,1,131.37,SKU-00103,1.50,0.25
L20260313-0001740,O20260313-000682,P00026,1,37.14,SKU-00026,0.00,0.20
L20260313-0001741,O20260313-000682,P00012,2,60.77,SKU-00012,3.00,0.00
L20260313-0001742,O20260313-000683,P00074,1,101.93,SKU-00074,1.50,0.07
L20260313-0001743,O20260313-000683,P00027,1,108.58,SKU-00027,5.00,0.10
L20260313-0001744,O20260313-000683,P00008,2,137.16,SKU-00008,1.50,0.10
L20260313-0001745,O20260313-000683,P00041,2,243.67,SKU-00041,5.00,0.00
L20260313-0001746,O20260313-000684,P00098,3,27.94,SKU-00098,5.00,0.25
L20260313-0001747,O20260313-000685,P00109,2,202.31,SKU-00109,5.00,0.07
L20260313-0001748,O20260313-000685,P00016,3,230.65,SKU-00016,0.00,0.07
L20260313-0001749,O20260313-000685,P00034,3,159.22,SKU-00034,3.00,0.20
L20260313-0001750,O20260313-000686,P00099,1,80.35,SKU-00099,0.00,0.20
L20260313-0001751,O20260313-000687,P00032,1,78.43,SKU-00032,0.00,0.25
L20260313-0001752,O20260313-000687,P00047,2,98.50,SKU-00047,3.00,0.07
L20260313-0001753,O20260313-000687,P00019,3,267.61,SKU-00019,3.00,0.07
L20260313-0001754,O20260313-000688,P00038,1,122.02,SKU-00038,0.00,0.07
L20260313-0001755,O20260313-000688,P00021,2,85.06,SKU-00021,3.00,0.20
L20260313-0001756,O20260313-000688,P00061,1,230.08,SKU-00061,5.00,0.07
L20260313-0001757,O20260313-000688,P00044,1,216.91,SKU-00044,0.00,0.07
L20260313-0001758,O20260313-000689,P00033,1,222.37,SKU-00033,0.00,0.20
L20260313-0001759,O20260313-000690,P00067,1,109.86,SKU-00067,1.50,0.07
L20260313-0001760,O20260313-000690,P00010,3,171.97,SKU-00010,5.00,0.25
L20260313-0001761,O20260313-000691,P00043,1,58.92,SKU-00043,0.00,0.10
L20260313-0001762,O20260313-000691,P00115,2,138.97,SKU-00115,0.00,0.20
L20260313-0001763,O20260313-000691,P00078,3,203.66,SKU-00078,0.00,0.07
L20260313-0001764,O20260313-000691,P00092,2,168.91,SKU-00092,1.50,0.07
L20260313-0001765,O20260313-000692,P00081,1,102.43,SKU-00081,0.00,0.20
L20260313-0001766,O20260313-000692,P00027,1,108.58,SKU-00027,3.00,0.25
L20260313-0001767,O20260313-000692,P00039,2,49.71,SKU-00039,0.00,0.20
L20260313-0001768,O20260313-000692,P00007,1,29.79,SKU-00007,3.00,0.00
L20260313-0001769,O20260313-000693,P00018,1,7.46,SKU-00018,0.00,0.00
L20260313-0001770,O20260313-000693,P00007,1,29.79,SKU-00007,3.00,0.10
L20260313-0001771,O20260313-000693,P00056,2,179.45,SKU-00056,1.50,0.25
L20260313-0001772,O20260313-000694,P00048,3,71.42,SKU-00048,0.00,0.20
L20260313-0001773,O20260313-000694,P00032,2,78.43,SKU-00032,0.00,0.25
L20260313-0001774,O20260313-000695,P00114,1,246.88,SKU-00114,3.00,0.00
L20260313-0001775,O20260313-000695,P00041,3,243.67,SKU-00041,3.00,0.25
L20260313-0001776,O20260313-000695,P00028,3,263.53,SKU-00028,5.00,0.20
L20260313-0001777,O20260313-000695,P00033,3,222.37,SKU-00033,5.00,0.20
L20260313-0001778,O20260313-000696,P00105,1,262.46,SKU-00105,0.00,0.10
L20260313-0001779,O20260313-000696,P00100,2,132.98,SKU-00100,1.50,0.07
L20260313-0001780,O20260313-000696,P00076,1,67.82,SKU-00076,3.00,0.00
L20260313-0001781,O20260313-000697,P00085,1,67.36,SKU-00085,1.50,0.25
L20260313-0001782,O20260313-000698,P00033,1,222.37,SKU-00033,0.00,0.00
L20260313-0001783,O20260313-000698,P00095,1,130.25,SKU-00095,0.00,0.07
L20260313-0001784,O20260313-000699,P00044,2,216.91,SKU-00044,3.00,0.25
L20260313-0001785,O20260313-000699,P00100,3,132.98,SKU-00100,5.00,0.07
L20260313-0001786,O20260313-000700,P00008,1,137.16,SKU-00008,5.00,0.10
L20260313-0001787,O20260313-000700,P00050,1,15.11,SKU-00050,0.00,0.10
L20260313-0001788,O20260313-000700,P00096,3,48.69,SKU-00096,5.00,0.25
L20260313-0001789,O20260313-000700,P00087,1,108.17,SKU-00087,5.00,0.20
L20260313-0001790,O20260313-000701,P00025,3,138.71,SKU-00025,0.00,0.00
L20260313-0001791,O20260313-000701,P00103,1,131.37,SKU-00103,0.00,0.25
L20260313-0001792,O20260313-000701,P00054,1,190.10,SKU-00054,3.00,0.20
L20260313-0001793,O20260313-000701,P00042,1,93.45,SKU-00042,1.50,0.20
L20260313-0001794,O20260313-000702,P00042,1,93.45,SKU-00042,1.50,0.20
L20260313-0001795,O20260313-000702,P00061,2,230.08,SKU-00061,1.50,0.00
L20260313-0001796,O20260313-000702,P00058,1,103.09,SKU-00058,5.00,0.20
L20260313-0001797,O20260313-000702,P00046,1,153.99,SKU-00046,3.00,0.20
L20260313-0001798,O20260313-000703,P00023,1,170.56,SKU-00023,1.50,0.10
L20260313-0001799,O20260313-000703,P00061,1,230.08,SKU-00061,0.00,0.07
L20260313-0001800,O20260313-000704,P00003,3,137.80,SKU-00003,0.00,0.10
L20260313-0001801,O20260313-000704,P00058,1,103.09,SKU-00058,0.00,0.20
L20260313-0001802,O20260313-000704,P00039,1,49.71,SKU-00039,0.00,0.07
L20260313-0001803,O20260313-000704,P00103,1,131.37,SKU-00103,0.00,0.25
L20260313-0001804,O20260313-000705,P00096,1,48.69,SKU-00096,0.00,0.10
L20260313-0001805,O20260313-000705,P00082,1,141.76,SKU-00082,5.00,0.20
L20260313-0001806,O20260313-000705,P00018,1,7.46,SKU-00018,1.50,0.07
L20260313-0001807,O20260313-000706,P00079,1,97.49,SKU-00079,5.00,0.00
L20260313-0001808,O20260313-000706,P00060,1,274.02,SKU-00060,1.50,0.20
L20260313-0001809,O20260313-000706,P00074,1,101.93,SKU-00074,3.00,0.07
L20260313-0001810,O20260313-000706,P00044,3,216.91,SKU-00044,5.00,0.00
L20260313-0001811,O20260313-000707,P00092,3,168.91,SKU-00092,1.50,0.10
L20260313-0001812,O20260313-000707,P00110,1,85.31,SKU-00110,0.00,0.00
L20260313-0001813,O20260313-000708,P00043,3,58.92,SKU-00043,1.50,0.25
L20260313-0001814,O20260313-000708,P00040,1,69.60,SKU-00040,0.00,0.07
L20260313-0001815,O20260313-000709,P00061,1,230.08,SKU-00061,5.00,0.20
L20260313-0001816,O20260313-000709,P00015,1,114.30,SKU-00015,0.00,0.25
L20260313-0001817,O20260313-000709,P00088,3,237.21,SKU-00088,0.00,0.07
L20260313-0001818,O20260313-000709,P00093,1,184.63,SKU-00093,5.00,0.10
L20260313-0001819,O20260313-000710,P00014,3,22.31,SKU-00014,3.00,0.07
L20260313-0001820,O20260313-000710,P00022,2,70.70,SKU-00022,0.00,0.10
L20260313-0001821,O20260313-000710,P00036,1,314.75,SKU-00036,3.00,0.20
L20260313-0001822,O20260313-000711,P00013,2,90.80,SKU-00013,0.00,0.00
L20260313-0001823,O20260313-000711,P00076,1,67.82,SKU-00076,0.00,0.10
L20260313-0001824,O20260313-000712,P00060,3,274.02,SKU-00060,5.00,0.07
L20260313-0001825,O20260313-000713,P00106,1,154.38,SKU-00106,5.00,0.10
L20260313-0001826,O20260313-000713,P00108,1,188.64,SKU-00108,3.00,0.07
L20260313-0001827,O20260313-000713,P00019,1,267.61,SKU-00019,3.00,0.00
L20260313-0001828,O20260313-000714,P00020,1,173.61,SKU-00020,0.00,0.20
L20260313-0001829,O20260313-000715,P00041,1,243.67,SKU-00041,5.00,0.20
L20260313-0001830,O20260313-000715,P00036,2,314.75,SKU-00036,3.00,0.25
L20260313-0001831,O20260313-000715,P00081,2,102.43,SKU-00081,3.00,0.20
L20260313-0001832,O20260313-000715,P00068,1,207.20,SKU-00068,5.00,0.25
L20260313-0001833,O20260313-000716,P00066,1,10.75,SKU-00066,1.50,0.25
L20260313-0001834,O20260313-000716,P00008,3,137.16,SKU-00008,5.00,0.10
L20260313-0001835,O20260313-000716,P00092,2,168.91,SKU-00092,0.00,0.20
L20260313-0001836,O20260313-000716,P00066,2,10.75,SKU-00066,3.00,0.07
L20260313-0001837,O20260313-000717,P00052,1,257.89,SKU-00052,0.00,0.07
L20260313-0001838,O20260313-000717,P00015,3,114.30,SKU-00015,0.00,0.10
L20260313-0001839,O20260313-000717,P00070,1,82.95,SKU-00070,0.00,0.25
L20260313-0001840,O20260313-000717,P00013,3,90.80,SKU-00013,0.00,0.00
L20260313-0001841,O20260313-000718,P00092,3,168.91,SKU-00092,0.00,0.00
