refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260313-0000234,L20260313-0002056,O20260313-000798,2026-03-08T11:28:52,221.08,late_delivery,rejected
R20260313-0000235,L20260313-0002064,O20260313-000800,2026-03-10T16:54:44,100.07,other,rejected
R20260313-0000236,L20260313-0002070,O20260313-000802,2026-03-03T00:31:04,190.26,customer_remorse,pending
R20260313-0000237,L20260313-0002086,O20260313-000809,2026-03-13T07:30:43,298.98,late_delivery,rejected
R20260313-0000238,L20260313-0002110,O20260313-000606,2026-03-11T10:35:56,106.42,damaged,rejected
R20260313-0000239,L20260313-0002005,O20260313-000779,2026-03-07T07:36:38,5.50,wrong_size,pending
R20260313-0000240,L20260313-0001541,O20260313-000605,2026-03-13T19:15:00,28.44,customer_remorse,rejected
R20260313-0000241,L20260313-0001870,O20260313-000727,2026-03-03T09:23:56,9.28,other,rejected
R20260313-0000242,L20260313-0001598,O20260313-000627,2026-03-04T19:55:11,34.87,damaged,pending
R20260313-0000191,L20260313-0001611,O20260313-000632,2026-03-04T11:55:25,49.74,wrong_size,approved
R20260313-0000221,L20260313-0001925,O20260313-000746,2026-03-03T21:43:05,298.78,customer_remorse,approved
R20260313-0000227,L20260313-0002003,O20260313-000778,2026-03-08T12:34:36,26.51,customer_remorse,rejected
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,,unknown_state
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
