order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date,new_device_type,new_marketing_channel
O20260313-000627,C029021,2026-03-13T09:32:53,SE,SEK,gift_card,4.99,0.00,shipped,2026-03-13,B,B
O20260313-000628,C001364,2026-03-12T00:55:23,NL,EUR,gift_card,4.99,0.00,cancelled,2026-03-13,A,A
O20260313-000629,C012417,2026-03-08T14:31:16,SE,SEK,paypal,7.99,10.00,paid,2026-03-13,,A
O20260313-000630,C039174,2026-03-08T10:26:14,DE,EUR,klarna,2.99,10.00,delivered,2026-03-13,C,legacy
O20260313-000631,C020900,2026-03-12T05:58:22,NL,EUR,paypal,0.00,10.00,placed,2026-03-13,legacy,
O20260313-000632,C022892,2026-03-09T02:09:51,NL,EUR,paypal,0.00,5.00,cancelled,2026-03-13,A,B
O20260313-000633,C010333,2026-03-12T18:18:07,GB,GBP,card,4.99,10.00,paid,2026-03-13,,B
O20260313-000634,C009938,2026-03-09T10:20:48,US,USD,gift_card,2.99,10.00,paid,2026-03-13,A,legacy
O20260313-000635,C010104,2026-03-08T13:11:52,NL,EUR,klarna,2.99,0.00,delivered,2026-03-13,,A
O20260313-000636,C004981,2026-03-11T21:16:39,NL,EUR,card,4.99,0.00,paid,2026-03-13,A,B
O20260313-000637,C007011,2026-03-12T20:34:48,DE,EUR,card,0.00,5.00,cancelled,2026-03-13,B,A
O20260313-000638,C014710,2026-03-08T05:04:52,FR,EUR,card,2.99,0.00,placed,2026-03-13,B,A
O20260313-000639,C004999,2026-03-11T23:18:32,DE,EUR,card,4.99,15.00,paid,2026-03-13,legacy,
O20260313-000640,C035615,2026-03-10T17:31:25,NL,EUR,klarna,0.00,0.00,cancelled,2026-03-13,legacy,legacy
O20260313-000641,C034790,2026-03-11T08:35:34,US,USD,card,7.99,5.00,shipped,2026-03-13,legacy,legacy
O20260313-000642,C000063,2026-03-13T12:11:36,DE,EUR,gift_card,7.99,15.00,delivered,2026-03-13,A,A
O20260313-000643,C020558,2026-03-09T10:49:47,DE,EUR,gift_card,7.99,5.00,delivered,2026-03-13,A,C
O20260313-000644,C020369,2026-03-08T03:38:27,GB,GBP,paypal,2.99,5.00,paid,2026-03-13,A,A
O20260313-000645,C009235,2026-03-08T13:51:09,US,USD,paypal,0.00,0.00,paid,2026-03-13,B,C
O20260313-000646,C020031,2026-03-08T02:02:18,US,USD,paypal,4.99,15.00,paid,2026-03-13,,A
O20260313-000647,C018443,2026-03-08T15:32:58,US,USD,card,0.00,10.00,cancelled,2026-03-13,B,A
O20260313-000648,C010055,2026-03-10T18:39:38,NL,EUR,klarna,0.00,0.00,cancelled,2026-03-13,,A
O20260313-000649,C013053,2026-03-13T23:35:01,GB,GBP,card,2.99,10.00,delivered,2026-03-13,legacy,
O20260313-000650,C001373,2026-03-08T22:47:10,NL,EUR,card,0.00,0.00,shipped,2026-03-13,legacy,
O20260313-000651,C010571,2026-03-09T10:12:34,DE,EUR,gift_card,2.99,0.00,placed,2026-03-13,A,A
O20260313-000652,C003042,2026-03-11T05:17:15,SE,SEK,paypal,0.00,5.00,cancelled,2026-03-13,,B
O20260313-000653,C010607,2026-03-10T19:10:42,GB,GBP,card,0.00,10.00,delivered,2026-03-13,C,legacy
O20260313-000654,C028325,2026-03-12T14:48:27,FR,EUR,paypal,2.99,0.00,cancelled,2026-03-13,A,legacy
O20260313-000655,C032873,2026-03-09T12:43:50,DE,EUR,paypal,2.99,10.00,delivered,2026-03-13,C,A
O20260313-000656,C005460,2026-03-09T10:40:07,GB,GBP,gift_card,2.99,10.00,delivered,2026-03-13,legacy,C
O20260313-000657,C016242,2026-03-10T17:19:49,US,USD,card,0.00,0.00,paid,2026-03-13,,legacy
O20260313-000658,C033151,2026-03-12T06:57:14,DE,EUR,paypal,0.00,15.00,cancelled,2026-03-13,C,C
O20260313-000659,C014668,2026-03-11T05:29:47,GB,GBP,card,7.99,5.00,placed,2026-03-13,A,A
O20260313-000660,C031607,2026-03-10T12:06:41,NL,EUR,card,7.99,5.00,cancelled,2026-03-13,A,B
O20260313-000661,C000412,2026-03-08T17:33:06,DE,EUR,klarna,2.99,0.00,cancelled,2026-03-13,,C
O20260313-000662,C030612,2026-03-09T14:26:07,DE,EUR,gift_card,0.00,5.00,cancelled,2026-03-13,B,C
O20260313-000663,C037982,2026-03-09T20:15:34,NL,EUR,klarna,4.99,10.00,paid,2026-03-13,legacy,B
O20260313-000664,C001091,2026-03-08T23:09:44,GB,GBP,gift_card,7.99,5.00,delivered,2026-03-13,A,A
O20260313-000665,C025197,2026-03-12T19:55:22,FR,EUR,card,2.99,5.00,delivered,2026-03-13,,B
O20260313-000666,C020189,2026-03-09T16:37:36,DE,EUR,paypal,4.99,5.00,paid,2026-03-13,legacy,legacy
O20260313-000667,C017881,2026-03-08T13:40:40,FR,EUR,card,7.99,5.00,paid,2026-03-13,,legacy
O20260313-000668,C039835,2026-03-13T14:17:40,FR,EUR,gift_card,2.99,15.00,delivered,2026-03-13,A,
O20260313-000669,C038684,2026-03-11T02:48:28,NL,EUR,gift_card,7.99,0.00,cancelled,2026-03-13,B,
O20260313-000670,C036258,2026-03-09T14:19:43,US,USD,gift_card,4.99,15.00,shipped,2026-03-13,legacy,A
O20260313-000671,C037420,2026-03-11T12:17:04,GB,GBP,paypal,4.99,0.00,delivered,2026-03-13,B,
O20260313-000672,C015895,2026-03-11T14:33:40,NL,EUR,klarna,2.99,10.00,cancelled,2026-03-13,A,
O20260313-000673,C034945,2026-03-13T12:18:49,FR,EUR,card,4.99,5.00,shipped,2026-03-13,A,
O20260313-000674,C039645,2026-03-12T21:40:32,US,USD,gift_card,0.00,5.00,paid,2026-03-13,A,legacy
O20260313-000675,C002058,2026-03-12T12:08:29,US,USD,card,7.99,10.00,shipped,2026-03-13,legacy,A
O20260313-000676,C039442,2026-03-13T00:53:34,FR,EUR,paypal,4.99,15.00,shipped,2026-03-13,legacy,
O20260313-000677,C034085,2026-03-13T07:00:35,SE,SEK,paypal,0.00,5.00,delivered,2026-03-13,B,B
O20260313-000678,C035446,2026-03-09T07:39:38,SE,SEK,gift_card,4.99,0.00,cancelled,2026-03-13,B,legacy
O20260313-000679,C027263,2026-03-12T00:09:59,SE,SEK,gift_card,4.99,0.00,placed,2026-03-13,legacy,
O20260313-000680,C013950,2026-03-13T21:22:46,US,USD,gift_card,7.99,0.00,cancelled,2026-03-13,C,
O20260313-000681,C023324,2026-03-08T06:01:58,FR,EUR,klarna,7.99,5.00,placed,2026-03-13,,A
O20260313-000682,C017109,2026-03-09T06:52:28,FR,EUR,klarna,7.99,10.00,cancelled,2026-03-13,legacy,B
O20260313-000683,C032942,2026-03-10T23:58:01,US,USD,card,7.99,0.00,delivered,2026-03-13,,C
O20260313-000684,C002289,2026-03-13T03:40:48,GB,GBP,paypal,7.99,5.00,placed,2026-03-13,B,A
O20260313-000685,C015134,2026-03-11T09:19:16,US,USD,paypal,0.00,10.00,delivered,2026-03-13,,
O20260313-000686,C022476,2026-03-10T17:57:59,SE,SEK,gift_card,4.99,0.00,shipped,2026-03-13,legacy,A
O20260313-000687,C024762,2026-03-12T04:07:20,US,USD,klarna,7.99,10.00,paid,2026-03-13,A,B
O20260313-000688,C027884,2026-03-12T05:54:11,SE,SEK,card,0.00,5.00,paid,2026-03-13,C,legacy
O20260313-000689,C019327,2026-03-10T00:16:31,DE,EUR,klarna,7.99,10.00,shipped,2026-03-13,A,legacy
O20260313-000690,C018912,2026-03-08T10:23:38,FR,EUR,paypal,7.99,5.00,paid,2026-03-13,C,C
O20260313-000691,C015189,2026-03-09T07:20:00,US,USD,gift_card,0.00,0.00,shipped,2026-03-13,,legacy
O20260313-000692,C022787,2026-03-12T03:10:44,SE,SEK,card,0.00,0.00,delivered,2026-03-13,A,A
O20260313-000693,C012114,2026-03-13T02:59:45,DE,EUR,gift_card,2.99,0.00,delivered,2026-03-13,B,C
O20260313-000694,C010293,2026-03-10T08:34:41,NL,EUR,paypal,4.99,15.00,shipped,2026-03-13,C,B
O20260313-000695,C021053,2026-03-09T10:10:11,GB,GBP,klarna,2.99,5.00,paid,2026-03-13,B,B
O20260313-000696,C020489,2026-03-13T12:07:32,GB,GBP,klarna,7.99,5.00,cancelled,2026-03-13,,B
O20260313-000697,C029402,2026-03-13T01:21:58,US,USD,card,0.00,5.00,shipped,2026-03-13,B,A
O20260313-000698,C006079,2026-03-11T14:29:19,FR,EUR,klarna,7.99,0.00,shipped,2026-03-13,,legacy
O20260313-000699,C014079,2026-03-11T04:19:28,GB,GBP,klarna,0.00,10.00,placed,2026-03-13,A,
O20260313-000700,C038049,2026-03-11T22:51:36,SE,SEK,gift_card,2.99,5.00,shipped,2026-03-13,legacy,
O20260313-000701,C013316,2026-03-13T10:14:31,FR,EUR,card,2.99,0.00,placed,2026-03-13,legacy,C
O20260313-000702,C014272,2026-03-10T02:55:50,FR,EUR,card,2.99,0.00,cancelled,2026-03-13,,C
O20260313-000703,C011942,2026-03-10T01:32:30,FR,EUR,paypal,0.00,5.00,paid,2026-03-13,,
O20260313-000704,C035607,2026-03-10T06:00:18,NL,EUR,gift_card,2.99,5.00,placed,2026-03-13,A,
O20260313-000705,C011898,2026-03-13T14:44:19,SE,SEK,gift_card,4.99,0.00,shipped,2026-03-13,,C
O20260313-000706,C014840,2026-03-10T16:03:06,GB,GBP,card,4.99,10.00,delivered,2026-03-13,A,
O20260313-000707,C019172,2026-03-11T12:31:05,DE,EUR,gift_card,7.99,10.00,paid,2026-03-13,legacy,A
O20260313-000708,C026050,2026-03-09T02:19:14,FR,EUR,paypal,7.99,0.00,cancelled,2026-03-13,B,legacy
O20260313-000709,C037722,2026-03-11T12:40:50,FR,EUR,gift_card,4.99,5.00,placed,2026-03-13,C,B
O20260313-000710,C038506,2026-03-09T18:50:01,FR,EUR,card,0.00,0.00,cancelled,2026-03-13,A,C
O20260313-000711,C036314,2026-03-11T15:14:36,FR,EUR,card,2.99,5.00,paid,2026-03-13,A,A
O20260313-000712,C005570,2026-03-09T19:26:42,US,USD,klarna,4.99,0.00,shipped,2026-03-13,,C
O20260313-000713,C018150,2026-03-08T16:49:33,NL,EUR,klarna,7.99,15.00,shipped,2026-03-13,B,
O20260313-000714,C011187,2026-03-09T11:52:49,NL,EUR,gift_card,4.99,15.00,shipped,2026-03-13,A,A
O20260313-000715,C008285,2026-03-09T23:07:53,FR,EUR,card,2.99,0.00,placed,2026-03-13,,A
O20260313-000716,C038261,2026-03-10T23:34:38,NL,EUR,card,2.99,5.00,cancelled,2026-03-13,B,B
O20260313-000717,C012291,2026-03-08T19:58:55,FR,EUR,gift_card,0.00,10.00,placed,2026-03-13,C,A
O20260313-000718,C038051,2026-03-09T09:58:16,SE,SEK,klarna,0.00,5.00,paid,2026-03-13,legacy,C
O20260313-000719,C032529,2026-03-12T16:25:33,NL,EUR,card,0.00,0.00,paid,2026-03-13,B,C
O20260313-000720,C001946,2026-03-12T16:32:21,GB,GBP,gift_card,0.00,0.00,cancelled,2026-03-13,B,A
O20260313-000721,C039961,2026-03-10T17:05:17,DE,EUR,klarna,0.00,0.00,cancelled,2026-03-13,legacy,legacy
O20260313-000722,C037543,2026-03-08T05:53:06,GB,GBP,gift_card,7.99,15.00,placed,2026-03-13,B,legacy
O20260313-000723,C020685,2026-03-12T17:55:27,SE,SEK,gift_card,2.99,0.00,shipped,2026-03-13,B,C
O20260313-000724,C020519,2026-03-08T16:34:48,US,USD,card,7.99,0.00,shipped,2026-03-13,legacy,C
O20260313-000725,C008293,2026-03-08T12:01:47,DE,EUR,card,0.00,15.00,paid,2026-03-13,legacy,A
O20260313-000726,C005232,2026-03-13T07:54:34,FR,EUR,paypal,7.99,5.00,paid,2026-03-13,B,A
O20260313-000727,C020654,2026-03-11T03:15:46,GB,GBP,gift_card,0.00,15.00,placed,2026-03-13,A,C
O20260313-000728,C034808,2026-03-11T17:51:06,GB,GBP,card,0.00,5.00,shipped,2026-03-13,A,
O20260313-000729,C008889,2026-03-11T06:45:29,US,USD,paypal,7.99,0.00,shipped,2026-03-13,legacy,A
O20260313-000730,C034796,2026-03-10T06:24:48,GB,GBP,gift_card,2.99,10.00,placed,2026-03-13,A,C
O20260313-000731,C022852,2026-03-09T23:38:25,DE,EUR,paypal,2.99,5.00,paid,2026-03-13,B,A
O20260313-000732,C003956,2026-03-08T00:40:21,FR,EUR,klarna,7.99,0.00,shipped,2026-03-13,B,A
O20260313-000733,C019130,2026-03-10T21:15:05,GB,GBP,klarna,7.99,10.00,paid,2026-03-13,C,A
O20260313-000734,C031939,2026-03-09T05:22:22,FR,EUR,card,0.00,10.00,shipped,2026-03-13,,
O20260313-000735,C025749,2026-03-08T19:02:42,DE,EUR,paypal,2.99,10.00,delivered,2026-03-13,C,legacy
O20260313-000736,C029946,2026-03-13T05:34:38,DE,EUR,gift_card,7.99,10.00,placed,2026-03-13,,C
O20260313-000737,C016343,2026-03-11T05:33:05,SE,SEK,gift_card,4.99,5.00,placed,2026-03-13,,B
O20260313-000738,C027015,2026-03-13T01:57:06,GB,GBP,gift_card,4.99,0.00,shipped,2026-03-13,B,legacy
O20260313-000739,C019636,2026-03-10T08:02:23,FR,EUR,card,0.00,0.00,cancelled,2026-03-13,C,B
O20260313-000740,C000081,2026-03-12T15:13:00,FR,EUR,klarna,2.99,10.00,delivered,2026-03-13,C,legacy
O20260313-000741,C027671,2026-03-12T16:55:06,DE,EUR,klarna,4.99,5.00,delivered,2026-03-13,A,A
O20260313-000742,C034660,2026-03-09T07:37:20,US,USD,paypal,0.00,15.00,delivered,2026-03-13,A,C
O20260313-000743,C002943,2026-03-10T15:25:16,FR,EUR,card,2.99,0.00,cancelled,2026-03-13,A,A
O20260313-000744,C018234,2026-03-09T16:29:48,FR,EUR,klarna,4.99,5.00,placed,2026-03-13,C,
O20260313-000745,C015541,2026-03-11T17:47:57,GB,GBP,gift_card,2.99,10.00,placed,2026-03-13,,C
O20260313-000746,C017425,2026-03-12T00:41:27,NL,EUR,card,0.00,10.00,shipped,2026-03-13,B,
O20260313-000747,C002302,2026-03-12T09:13:37,GB,GBP,card,7.99,0.00,cancelled,2026-03-13,legacy,legacy
O20260313-000748,C029045,2026-03-08T23:22:32,NL,EUR,paypal,2.99,0.00,delivered,2026-03-13,,A
O20260313-000749,C031123,2026-03-10T00:53:16,SE,SEK,card,2.99,0.00,cancelled,2026-03-13,C,
O20260313-000750,C007388,2026-03-11T06:32:52,US,USD,gift_card,0.00,0.00,cancelled,2026-03-13,B,legacy
O20260313-000751,C025946,2026-03-12T11:16:50,DE,EUR,paypal,0.00,5.00,placed,2026-03-13,C,C
O20260313-000752,C011167,2026-03-12T02:39:02,GB,GBP,klarna,7.99,10.00,paid,2026-03-13,A,B
O20260313-000753,C017599,2026-03-11T02:01:03,US,USD,gift_card,4.99,0.00,cancelled,2026-03-13,legacy,A
O20260313-000754,C010457,2026-03-11T11:49:15,DE,EUR,card,0.00,15.00,delivered,2026-03-13,,
O20260313-000755,C020288,2026-03-13T20:59:09,GB,GBP,paypal,4.99,15.00,delivered,2026-03-13,C,A
O20260313-000756,C038495,2026-03-08T23:35:30,US,USD,paypal,7.99,5.00,cancelled,2026-03-13,B,B
O20260313-000757,C013415,2026-03-12T05:23:05,NL,EUR,gift_card,4.99,0.00,paid,2026-03-13,legacy,C
O20260313-000758,C000917,2026-03-11T22:41:43,SE,SEK,paypal,2.99,10.00,placed,2026-03-13,legacy,
O20260313-000759,C034969,2026-03-09T01:02:12,US,USD,klarna,7.99,15.00,delivered,2026-03-13,legacy,A
O20260313-000760,C025001,2026-03-12T01:30:00,US,USD,paypal,7.99,10.00,paid,2026-03-13,C,C
O20260313-000761,C009926,2026-03-13T01:38:21,US,USD,paypal,7.99,10.00,paid,2026-03-13,C,B
O20260313-000762,C037437,2026-03-11T06:26:34,US,USD,card,0.00,5.00,delivered,2026-03-13,,A
O20260313-000763,C039644,2026-03-11T00:03:06,NL,EUR,gift_card,2.99,0.00,shipped,2026-03-13,legacy,
O20260313-000764,C000808,2026-03-13T14:13:39,FR,EUR,gift_card,0.00,0.00,placed,2026-03-13,B,B
O20260313-000765,C029588,2026-03-12T05:05:06,GB,GBP,paypal,7.99,15.00,placed,2026-03-13,,A
O20260313-000766,C033379,2026-03-10T02:41:24,GB,GBP,gift_card,2.99,0.00,placed,2026-03-13,B,C
O20260313-000767,C016639,2026-03-11T22:49:17,US,USD,gift_card,0.00,10.00,placed,2026-03-13,C,
O20260313-000768,C010957,2026-03-09T02:30:53,FR,EUR,card,7.99,5.00,shipped,2026-03-13,C,C
O20260313-000769,C026678,2026-03-13T04:52:14,DE,EUR,klarna,4.99,0.00,paid,2026-03-13,,
O20260313-000770,C009452,2026-03-13T20:25:00,SE,SEK,paypal,4.99,0.00,paid,2026-03-13,,B
O20260313-000771,C017687,2026-03-13T04:46:58,FR,EUR,card,4.99,5.00,delivered,2026-03-13,A,C
O20260313-000772,C011816,2026-03-10T19:01:13,NL,EUR,paypal,7.99,5.00,shipped,2026-03-13,A,
O20260313-000773,C014723,2026-03-12T15:26:05,US,USD,gift_card,4.99,15.00,placed,2026-03-13,A,A
O20260313-000774,C008778,2026-03-11T11:52:44,GB,GBP,klarna,4.99,0.00,delivered,2026-03-13,,B
O20260313-000775,C008613,2026-03-13T03:36:42,US,USD,card,4.99,15.00,cancelled,2026-03-13,A,legacy
O20260313-000776,C011189,2026-03-10T17:56:25,US,USD,klarna,7.99,5.00,delivered,2026-03-13,,A
O20260313-000777,C028047,2026-03-09T21:26:08,FR,EUR,paypal,7.99,10.00,placed,2026-03-13,C,
O20260313-000778,C032782,2026-03-09T08:19:29,US,USD,klarna,0.00,15.00,paid,2026-03-13,C,
O20260313-000779,C036536,2026-03-13T18:07:36,NL,EUR,card,7.99,5.00,cancelled,2026-03-13,legacy,B
O20260313-000780,C008561,2026-03-13T13:19:02,FR,EUR,card,7.99,15.00,cancelled,2026-03-13,,A
O20260313-000781,C025759,2026-03-09T23:40:08,DE,EUR,paypal,4.99,0.00,shipped,2026-03-13,B,A
O20260313-000782,C017631,2026-03-09T13:17:28,FR,EUR,card,2.99,0.00,paid,2026-03-13,,C
O20260313-000783,C034589,2026-03-10T10:17:27,FR,EUR,paypal,2.99,0.00,paid,2026-03-13,C,B
O20260313-000784,C010912,2026-03-12T23:46:31,US,USD,paypal,0.00,5.00,shipped,2026-03-13,legacy,A
O20260313-000785,C013641,2026-03-12T00:03:01,US,USD,card,7.99,0.00,shipped,2026-03-13,B,
O20260313-000786,C026432,2026-03-10T07:37:07,GB,GBP,card,0.00,15.00,cancelled,2026-03-13,C,A
O20260313-000787,C037233,2026-03-13T03:16:07,FR,EUR,gift_card,0.00,0.00,cancelled,2026-03-13,C,legacy
O20260313-000788,C025198,2026-03-09T23:40:09,US,USD,paypal,2.99,10.00,paid,2026-03-13,C,
O20260313-000789,C038141,2026-03-08T17:49:36,NL,EUR,gift_card,0.00,10.00,placed,2026-03-13,B,
O20260313-000790,C022076,2026-03-11T17:53:05,FR,EUR,gift_card,7.99,5.00,delivered,2026-03-13,A,B
O20260313-000791,C002663,2026-03-13T00:58:38,DE,EUR,klarna,2.99,0.00,delivered,2026-03-13,legacy,B
O20260313-000792,C006343,2026-03-08T07:28:05,US,USD,card,0.00,5.00,placed,2026-03-13,C,C
O20260313-000793,C039593,2026-03-09T20:23:44,GB,GBP,klarna,4.99,15.00,paid,2026-03-13,,legacy
O20260313-000794,C020254,2026-03-12T00:12:40,FR,EUR,klarna,0.00,0.00,shipped,2026-03-13,,B
O20260313-000795,C021230,2026-03-12T08:26:26,DE,EUR,card,7.99,5.00,delivered,2026-03-13,,B
O20260313-000796,C039795,2026-03-09T08:18:37,FR,EUR,klarna,7.99,10.00,delivered,2026-03-13,legacy,legacy
O20260313-000797,C003518,2026-03-13T01:35:08,DE,EUR,klarna,0.00,0.00,cancelled,2026-03-13,C,A
O20260313-000798,C033227,2026-03-12T04:41:14,US,USD,gift_card,4.99,0.00,paid,2026-03-13,,
O20260313-000799,C009224,2026-03-13T16:22:32,NL,EUR,card,7.99,5.00,shipped,2026-03-13,,C
O20260313-000800,C030643,2026-03-12T11:40:12,DE,EUR,gift_card,4.99,0.00,paid,2026-03-13,B,A
O20260313-000801,C029782,2026-03-13T00:18:05,SE,SEK,paypal,0.00,15.00,paid,2026-03-13,,
O20260313-000802,C021759,2026-03-13T17:07:43,FR,EUR,gift_card,0.00,0.00,shipped,2026-03-13,B,B
O20260313-000803,C036993,2026-03-13T09:42:55,SE,SEK,gift_card,0.00,0.00,placed,2026-03-13,,A
O20260313-000804,C039428,2026-03-12T07:03:16,NL,EUR,gift_card,7.99,0.00,placed,2026-03-13,B,C
O20260313-000805,C008375,2026-03-09T07:33:09,US,USD,gift_card,0.00,0.00,placed,2026-03-13,B,legacy
O20260313-000806,C011520,2026-03-12T04:36:47,GB,GBP,gift_card,0.00,5.00,placed,2026-03-13,,
O20260313-000807,C001925,2026-03-08T08:34:45,DE,EUR,klarna,0.00,10.00,delivered,2026-03-13,,B
O20260313-000808,C021306,2026-03-12T23:58:48,NL,EUR,klarna,4.99,10.00,placed,2026-03-13,C,legacy
O20260313-000809,C011647,2026-03-12T14:26:14,SE,SEK,klarna,7.99,0.00,placed,2026-03-13,B,B
O20260313-000810,C005775,2026-03-11T07:00:23,FR,EUR,gift_card,2.99,5.00,delivered,2026-03-13,legacy,
O20260313-000811,C017005,2026-03-12T11:35:26,DE,EUR,card,7.99,10.00,cancelled,2026-03-13,legacy,
O20260313-000812,C010695,2026-03-11T03:47:43,DE,EUR,paypal,7.99,0.00,delivered,2026-03-13,legacy,A
O20260313-000813,C000249,2026-03-09T12:54:26,NL,EUR,gift_card,4.99,10.00,paid,2026-03-13,,A
O20260313-000814,C018092,2026-03-13T19:56:28,DE,EUR,gift_card,7.99,15.00,shipped,2026-03-13,C,legacy
O20260313-000767,C016639,2026-03-11T22:49:17,US,USD,gift_card,0.00,10.00,placed,2026-03-13,legacy,
O20260313-000654,C028325,2026-03-12T14:48:27,FR,EUR,paypal,2.99,0.00,cancelled,2026-03-13,legacy,B
O20260313-000694,C010293,2026-03-10T08:34:41,NL,EUR,paypal,4.99,15.00,shipped,2026-03-13,B,A
O20260313-000606,C010048,2026-03-09T07:00:08,FR,EUR,card,2.99,5.00,delivered,2026-03-13,C,C
O20260313-000624,C014439,2026-03-09T14:11:10,DE,EUR,card,4.99,5.00,paid,2026-03-13,B,C
O20260313-000601,C001837,2026-03-13T17:50:57,FR,EUR,klarna,2.99,15.00,shipped,2026-03-13,A,C
O20260313-000635,C010104,2026-03-08T13:11:52,NL,EUR,klarna,2.99,0.00,delivered,2026-03-13,A,legacy
O20260313-000591,C022065,2026-03-10T18:08:54,SE,SEK,paypal,0.00,0.00,placed,2026-03-13,legacy,B
O20260313-000681,C023324,2026-03-08T06:01:58,FR,EUR,klarna,7.99,5.00,placed,2026-03-13,,B
O-BAD-001,,not-a-timestamp,XX,???,cash_in_pigeon,free,-999999,teleported,2026/13/40,legacy,
,,,,,
broken|delimiter|line|not|csv
