order_id,customer_id,order_ts,country,currency,payment_method,source_file_date
O20260316-001323,C022033,2026-03-12T07:34:31,SE,SEK,klarna,2026-03-16
O20260316-001324,C030460,2026-03-16T19:37:03,GB,GBP,paypal,2026-03-16
O20260316-001325,C005099,2026-03-15T11:37:45,US,USD,card,2026-03-16
O20260316-001326,C007209,2026-03-14T21:26:37,DE,EUR,gift_card,2026-03-16
O20260316-001327,C005466,2026-03-14T12:01:05,US,USD,paypal,2026-03-16
O20260316-001328,C028494,2026-03-15T05:51:24,US,USD,card,2026-03-16
O20260316-001329,C018110,2026-03-15T12:25:53,GB,GBP,paypal,2026-03-16
O20260316-001330,C019192,2026-03-16T17:09:12,US,USD,card,2026-03-16
O20260316-001331,C029418,2026-03-16T19:50:37,US,USD,klarna,2026-03-16
O20260316-001332,C021919,2026-03-16T19:42:40,US,USD,klarna,2026-03-16
O20260316-001333,C000762,2026-03-16T10:26:49,FR,EUR,gift_card,2026-03-16
O20260316-001334,C014801,2026-03-14T19:23:05,NL,EUR,gift_card,2026-03-16
O20260316-001335,C017285,2026-03-16T07:41:01,DE,EUR,paypal,2026-03-16
O20260316-001336,C006411,2026-03-16T12:26:20,NL,EUR,gift_card,2026-03-16
O20260316-001337,C010985,2026-03-15T11:56:28,FR,EUR,gift_card,2026-03-16
O20260316-001338,C019728,2026-03-12T01:23:30,GB,GBP,card,2026-03-16
O20260316-001339,C008422,2026-03-11T15:55:43,DE,EUR,gift_card,2026-03-16
O20260316-001340,C020704,2026-03-12T14:58:33,US,USD,card,2026-03-16
O20260316-001341,C031284,2026-03-16T10:55:07,US,USD,card,2026-03-16
O20260316-001342,C017243,2026-03-16T05:18:44,GB,GBP,klarna,2026-03-16
O20260316-001343,C014211,2026-03-16T21:59:13,NL,EUR,gift_card,2026-03-16
O20260316-001344,C037577,2026-03-16T21:26:25,US,USD,klarna,2026-03-16
O20260316-001345,C023062,2026-03-13T23:52:00,FR,EUR,paypal,2026-03-16
O20260316-001346,C005949,2026-03-13T12:56:58,GB,GBP,card,2026-03-16
O20260316-001347,C013520,2026-03-11T01:07:06,US,USD,paypal,2026-03-16
O20260316-001348,C005930,2026-03-11T16:40:53,DE,EUR,card,2026-03-16
O20260316-001349,C020834,2026-03-13T18:24:22,DE,EUR,gift_card,2026-03-16
O20260316-001350,C037339,2026-03-16T21:49:54,US,USD,klarna,2026-03-16
O20260316-001351,C003752,2026-03-11T14:35:52,GB,GBP,paypal,2026-03-16
O20260316-001352,C018361,2026-03-15T08:48:44,NL,EUR,paypal,2026-03-16
O20260316-001353,C031001,2026-03-14T09:42:25,SE,SEK,gift_card,2026-03-16
O20260316-001354,C008319,2026-03-15T01:41:27,DE,EUR,klarna,2026-03-16
O20260316-001355,C033503,2026-03-14T12:03:14,NL,EUR,klarna,2026-03-16
O20260316-001356,C015602,2026-03-14T22:27:25,DE,EUR,klarna,2026-03-16
O20260316-001357,C027833,2026-03-14T10:12:48,SE,SEK,paypal,2026-03-16
O20260316-001358,C020610,2026-03-16T13:02:49,FR,EUR,klarna,2026-03-16
O20260316-001359,C013972,2026-03-13T20:06:59,GB,GBP,paypal,2026-03-16
O20260316-001360,C006894,2026-03-11T00:31:34,GB,GBP,card,2026-03-16
O20260316-001303,C023175,2026-03-14T21:57:15,US,USD,gift_card,2026-03-16
O20260316-001318,C008860,2026-03-12T14:42:43,DE,EUR,paypal,2026-03-16
O20260316-001269,C037707,2026-03-13T03:47:28,GB,GBP,card,2026-03-16
O20260316-001326,C007209,2026-03-14T21:26:37,DE,EUR,gift_card,2026-03-16
O20260316-001233,C016224,2026-03-16T18:59:30,NL,EUR,gift_card,2026-03-16
O-BAD-001,,not-a-timestamp,XX,???,cash_in_pigeon,2026/13/40
,,,,,
broken|delimiter|line|not|csv
