product_id,sku,product_name,product_type,cost_price,category,is_active,currency
P00097,SKU-00097,Product 97,noos,80.53,shoes,true,EUR
P00076,SKU-00076,Product 76,fashion,38.63,skincare,false,GBP
P00046,SKU-00046,Product 46,beauty,94.65,kitchen,true,EUR
P00053,SKU-00053,Product 53,beauty,39.53,accessories,true,USD
P00102,SKU-00102,Product 102,home,55.02,bottoms,false,USD
P00119,SKU-00119,Product 119,fashion,119.70,shoes,true,EUR
P00111,SKU-00111,Product 111,beauty,95.54,accessories,true,EUR
P00118,SKU-00118,Product 118,beauty,114.66,skincare,true,GBP
P00044,SKU-00044,Product 44,fashion,82.96,accessories,false,GBP
P00072,SKU-00072,Product 72,fashion,94.51,tops,true,GBP
P00077,SKU-00077,Product 77,home,56.20,tops,true,EUR
P00114,SKU-00114,Product 114,beauty,103.23,tops,false,EUR
P00020,SKU-00020,Product 20,noos,74.17,skincare,false,GBP
P00029,SKU-00029,Product 29,noos,60.08,shoes,true,EUR
P00093,SKU-00093,Product 93,home,109.34,skincare,true,GBP
P00082,SKU-00082,Product 82,fashion,106.03,skincare,false,EUR
P00017,SKU-00017,Product 17,noos,77.94,bottoms,true,GBP
P00109,SKU-00109,Product 109,beauty,109.75,kitchen,true,EUR
P00042,SKU-00042,Product 42,beauty,67.77,skincare,true,GBP
P00063,SKU-00063,Product 63,home,36.79,accessories,true,USD
P00004,SKU-00004,Product 4,noos,104.77,kitchen,true,USD
P00091,SKU-00091,Product 91,fashion,70.72,bottoms,true,USD
P00120,SKU-00120,Product 120,fashion,38.39,tops,true,EUR
P00001,SKU-00001,Product 1,fashion,77.99,kitchen,true,GBP
P00079,SKU-00079,Product 79,beauty,59.83,kitchen,true,USD
P00019,SKU-00019,Product 19,noos,98.57,bottoms,true,EUR
P00036,SKU-00036,Product 36,fashion,112.51,shoes,true,USD
P00050,SKU-00050,Product 50,beauty,7.96,accessories,true,EUR
P00096,SKU-00096,Product 96,home,37.06,kitchen,true,EUR
P00087,SKU-00087,Product 87,home,64.62,tops,true,USD
P00012,SKU-00012,Product 12,home,32.23,kitchen,false,EUR
P00039,SKU-00039,Product 39,fashion,34.31,kitchen,true,GBP
P00015,SKU-00015,Product 15,home,82.92,kitchen,false,USD
P00052,SKU-00052,Product 52,home,114.04,skincare,true,GBP
P00016,SKU-00016,Product 16,home,114.62,skincare,true,GBP
P00094,SKU-00094,Product 94,noos,113.89,kitchen,true,USD
P00106,SKU-00106,Product 106,beauty,63.90,kitchen,true,EUR
P00099,SKU-00099,Product 99,beauty,38.93,accessories,false,USD
P00088,SKU-00088,Product 88,noos,85.98,accessories,true,GBP
P00117,SKU-00117,Product 117,home,116.41,skincare,true,GBP
P00040,SKU-00040,Product 40,home,43.45,skincare,true,USD
P00112,SKU-00112,Product 112,beauty,101.07,bottoms,true,EUR
P00007,SKU-00007,Product 7,noos,11.60,accessories,true,EUR
P00024,SKU-00024,Product 24,beauty,87.77,bottoms,true,USD
P00013,SKU-00013,Product 13,fashion,62.86,tops,true,GBP
P00116,SKU-00116,Product 116,beauty,64.77,tops,true,USD
P00058,SKU-00058,Product 58,noos,51.78,kitchen,true,USD
P00071,SKU-00071,Product 71,beauty,100.77,tops,true,USD
P00027,SKU-00027,Product 27,noos,65.98,shoes,true,USD
P00065,SKU-00065,Product 65,noos,51.94,shoes,true,GBP
P00075,SKU-00075,Product 75,beauty,109.29,shoes,true,USD
P00085,SKU-00085,Product 85,beauty,42.04,accessories,true,GBP
P00041,SKU-00041,Product 41,fashion,100.12,tops,true,USD
P00103,SKU-00103,Product 103,home,51.07,kitchen,true,EUR
P00049,SKU-00049,Product 49,home,50.06,tops,true,USD
P00043,SKU-00043,Product 43,noos,46.51,shoes,true,USD
P00100,SKU-00100,Product 100,home,107.12,skincare,true,GBP
P00107,SKU-00107,Product 107,beauty,111.57,kitchen,true,GBP
P00101,SKU-00101,Product 101,home,114.27,skincare,true,EUR
P00022,SKU-00022,Product 22,noos,30.31,tops,true,USD
P00059,SKU-00059,Product 59,fashion,4.15,shoes,false,USD
P00038,SKU-00038,Product 38,home,100.63,skincare,true,GBP
P00002,SKU-00002,Product 2,fashion,89.79,skincare,true,USD
P00057,SKU-00057,Product 57,noos,39.66,bottoms,false,GBP
P00030,SKU-00030,Product 30,home,94.97,shoes,false,USD
P00005,SKU-00005,Product 5,fashion,14.30,accessories,true,GBP
P00073,SKU-00073,Product 73,fashion,17.96,skincare,true,EUR
P00008,SKU-00008,Product 8,home,77.56,bottoms,true,GBP
P00108,SKU-00108,Product 108,beauty,67.67,tops,true,EUR
P00066,SKU-00066,Product 66,home,4.19,accessories,false,GBP
P00110,SKU-00110,Product 110,noos,31.89,shoes,true,USD
P00033,SKU-00033,Product 33,noos,82.16,shoes,true,GBP
P00051,SKU-00051,Product 51,beauty,33.18,tops,true,EUR
P00080,SKU-00080,Product 80,beauty,31.91,skincare,true,USD
P00031,SKU-00031,Product 31,fashion,28.86,skincare,true,USD
P00026,SKU-00026,Product 26,beauty,14.97,kitchen,true,USD
P00084,SKU-00084,Product 84,noos,50.61,accessories,true,EUR
P00014,SKU-00014,Product 14,beauty,10.90,skincare,true,GBP
P00067,SKU-00067,Product 67,noos,67.12,shoes,false,USD
P00006,SKU-00006,Product 6,beauty,18.04,tops,true,GBP
P00074,SKU-00074,Product 74,fashion,74.24,bottoms,true,EUR
P00060,SKU-00060,Product 60,fashion,110.39,shoes,true,EUR
P00092,SKU-00092,Product 92,beauty,68.52,skincare,true,GBP
P00115,SKU-00115,Product 115,noos,99.12,shoes,true,USD
P00045,SKU-00045,Product 45,noos,111.35,bottoms,true,USD
P00016,SKU-00016,Product 16,home,114.62,skincare,true,GBP
P00087,SKU-00087,Product 87,home,64.62,tops,true,USD
P00118,SKU-00118,Product 118,beauty,114.66,skincare,true,GBP
P00036,SKU-00036,Product 36,fashion,112.51,shoes,true,USD
P00066,SKU-00066,Product 66,home,4.19,accessories,false,GBP
,???,BROKEN_PRODUCT,unknown,not_a_number,,maybe,USDX
this,is,a,malformed,row,with,too,many,columns,boom
