order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,tax_rate,line_ts
L20260315-0002724,O20260315-001061,P00012,1,60.77,SKU-00012,0.00,0.07,2026-03-15T20:31:20
L20260315-0002725,O20260315-001061,P00041,3,243.67,SKU-00041,5.00,0.10,2026-03-14T21:17:57
L20260315-0002726,O20260315-001062,P00008,1,137.16,SKU-00008,1.50,0.25,2026-03-11T06:48:22
L20260315-0002727,O20260315-001062,P00007,2,29.79,SKU-00007,1.50,0.10,2026-03-15T23:38:13
L20260315-0002728,O20260315-001063,P00024,3,218.72,SKU-00024,0.00,0.25,2026-03-08T00:08:16
L20260315-0002729,O20260315-001063,P00035,1,122.53,SKU-00035,1.50,0.07,2026-03-14T00:58:39
L20260315-0002730,O20260315-001064,P00060,2,274.02,SKU-00060,0.00,0.25,2026-03-13T07:43:21
L20260315-0002731,O20260315-001065,P00119,1,289.27,SKU-00119,3.00,0.20,2026-03-12T15:27:22
L20260315-0002732,O20260315-001065,P00044,1,216.91,SKU-00044,3.00,0.20,2026-03-14T14:08:28
L20260315-0002733,O20260315-001066,P00061,1,230.08,SKU-00061,1.50,0.10,2026-03-11T17:59:06
L20260315-0002734,O20260315-001066,P00037,2,162.77,SKU-00037,0.00,0.07,2026-03-09T13:27:06
L20260315-0002735,O20260315-001066,P00044,1,216.91,SKU-00044,5.00,0.07,2026-03-13T19:17:11
L20260315-0002736,O20260315-001067,P00091,1,176.65,SKU-00091,0.00,0.00,2026-03-10T01:59:41
L20260315-0002737,O20260315-001067,P00013,1,90.80,SKU-00013,1.50,0.07,2026-03-12T18:03:27
L20260315-0002738,O20260315-001067,P00021,2,85.06,SKU-00021,5.00,0.25,2026-03-10T16:11:57
L20260315-0002739,O20260315-001067,P00037,2,162.77,SKU-00037,3.00,0.07,2026-03-12T22:56:53
L20260315-0002740,O20260315-001068,P00107,1,155.56,SKU-00107,5.00,0.25,2026-03-15T07:28:58
L20260315-0002741,O20260315-001069,P00089,3,221.76,SKU-00089,0.00,0.07,2026-03-08T11:38:15
L20260315-0002742,O20260315-001070,P00041,2,243.67,SKU-00041,0.00,0.10,2026-03-13T02:50:47
L20260315-0002743,O20260315-001070,P00012,2,60.77,SKU-00012,0.00,0.07,2026-03-15T22:25:54
L20260315-0002744,O20260315-001070,P00084,1,90.61,SKU-00084,5.00,0.00,2026-03-15T00:45:17
L20260315-0002745,O20260315-001071,P00025,2,138.71,SKU-00025,1.50,0.07,2026-03-09T08:18:16
L20260315-0002746,O20260315-001071,P00027,1,108.58,SKU-00027,5.00,0.20,2026-03-14T08:09:10
L20260315-0002747,O20260315-001071,P00089,1,221.76,SKU-00089,0.00,0.20,2026-03-13T05:58:56
L20260315-0002748,O20260315-001072,P00051,3,88.95,SKU-00051,0.00,0.10,2026-03-13T14:32:03
L20260315-0002749,O20260315-001072,P00109,3,202.31,SKU-00109,3.00,0.25,2026-03-10T21:30:06
L20260315-0002750,O20260315-001072,P00008,3,137.16,SKU-00008,0.00,0.07,2026-03-10T06:02:00
L20260315-0002751,O20260315-001072,P00006,3,30.11,SKU-00006,0.00,0.00,2026-03-09T06:40:08
L20260315-0002752,O20260315-001073,P00066,2,10.75,SKU-00066,3.00,0.20,2026-03-10T09:25:23
L20260315-0002753,O20260315-001073,P00071,2,129.32,SKU-00071,0.00,0.20,2026-03-13T17:42:19
L20260315-0002754,O20260315-001073,P00060,1,274.02,SKU-00060,0.00,0.10,2026-03-11T13:40:13
L20260315-0002755,O20260315-001074,P00024,1,218.72,SKU-00024,3.00,0.10,2026-03-09T16:18:52
L20260315-0002756,O20260315-001074,P00099,1,80.35,SKU-00099,1.50,0.10,2026-03-09T23:12:21
L20260315-0002757,O20260315-001075,P00060,1,274.02,SKU-00060,3.00,0.07,2026-03-10T02:52:32
L20260315-0002758,O20260315-001076,P00014,2,22.31,SKU-00014,3.00,0.25,2026-03-09T11:45:52
L20260315-0002759,O20260315-001076,P00073,1,35.38,SKU-00073,5.00,0.20,2026-03-10T13:00:02
L20260315-0002760,O20260315-001076,P00101,1,276.64,SKU-00101,0.00,0.20,2026-03-10T04:11:36
L20260315-0002761,O20260315-001077,P00095,1,130.25,SKU-00095,5.00,0.10,2026-03-13T02:00:36
L20260315-0002762,O20260315-001077,P00021,1,85.06,SKU-00021,0.00,0.10,2026-03-14T23:16:21
L20260315-0002763,O20260315-001077,P00046,2,153.99,SKU-00046,5.00,0.10,2026-03-12T14:41:08
L20260315-0002764,O20260315-001077,P00030,2,214.54,SKU-00030,3.00,0.20,2026-03-15T08:04:18
L20260315-0002765,O20260315-001078,P00120,2,94.97,SKU-00120,1.50,0.07,2026-03-15T05:39:54
L20260315-0002766,O20260315-001078,P00061,1,230.08,SKU-00061,5.00,0.00,2026-03-12T15:09:11
L20260315-0002767,O20260315-001079,P00016,1,230.65,SKU-00016,5.00,0.07,2026-03-10T20:48:09
L20260315-0002768,O20260315-001079,P00040,1,69.60,SKU-00040,5.00,0.07,2026-03-13T19:40:23
L20260315-0002769,O20260315-001080,P00012,1,60.77,SKU-00012,5.00,0.20,2026-03-13T17:16:01
L20260315-0002770,O20260315-001081,P00104,2,71.48,SKU-00104,5.00,0.10,2026-03-12T19:03:58
L20260315-0002771,O20260315-001081,P00070,2,82.95,SKU-00070,5.00,0.07,2026-03-11T15:25:29
L20260315-0002772,O20260315-001081,P00088,3,237.21,SKU-00088,0.00,0.00,2026-03-08T16:09:19
L20260315-0002773,O20260315-001081,P00039,2,49.71,SKU-00039,3.00,0.20,2026-03-09T19:19:44
L20260315-0002774,O20260315-001082,P00056,1,179.45,SKU-00056,5.00,0.10,2026-03-12T16:26:32
L20260315-0002775,O20260315-001082,P00021,1,85.06,SKU-00021,0.00,0.25,2026-03-10T10:37:11
L20260315-0002776,O20260315-001083,P00101,2,276.64,SKU-00101,0.00,0.25,2026-03-08T05:24:24
L20260315-0002777,O20260315-001083,P00073,1,35.38,SKU-00073,0.00,0.07,2026-03-10T14:47:52
L20260315-0002778,O20260315-001083,P00021,2,85.06,SKU-00021,0.00,0.10,2026-03-09T17:52:45
L20260315-0002779,O20260315-001084,P00061,1,230.08,SKU-00061,1.50,0.20,2026-03-13T06:49:43
L20260315-0002780,O20260315-001084,P00088,1,237.21,SKU-00088,1.50,0.10,2026-03-09T13:25:06
L20260315-0002781,O20260315-001085,P00046,1,153.99,SKU-00046,1.50,0.25,2026-03-09T02:34:03
L20260315-0002782,O20260315-001086,P00112,3,208.38,SKU-00112,3.00,0.07,2026-03-09T23:47:33
L20260315-0002783,O20260315-001086,P00090,3,34.54,SKU-00090,3.00,0.25,2026-03-13T08:16:38
L20260315-0002784,O20260315-001086,P00115,1,138.97,SKU-00115,0.00,0.07,2026-03-10T02:33:27
L20260315-0002785,O20260315-001086,P00080,1,72.41,SKU-00080,3.00,0.00,2026-03-12T21:19:17
L20260315-0002786,O20260315-001087,P00109,3,202.31,SKU-00109,5.00,0.07,2026-03-12T03:34:15
L20260315-0002787,O20260315-001088,P00016,2,230.65,SKU-00016,5.00,0.07,2026-03-11T15:26:37
L20260315-0002788,O20260315-001089,P00103,1,131.37,SKU-00103,0.00,0.20,2026-03-08T19:50:15
L20260315-0002789,O20260315-001090,P00012,1,60.77,SKU-00012,0.00,0.00,2026-03-14T12:13:06
L20260315-0002790,O20260315-001091,P00024,1,218.72,SKU-00024,0.00,0.07,2026-03-12T18:06:23
L20260315-0002791,O20260315-001091,P00020,1,173.61,SKU-00020,0.00,0.07,2026-03-12T12:40:48
L20260315-0002792,O20260315-001091,P00088,1,237.21,SKU-00088,0.00,0.10,2026-03-15T18:35:11
L20260315-0002793,O20260315-001092,P00022,2,70.70,SKU-00022,0.00,0.07,2026-03-12T03:35:38
L20260315-0002794,O20260315-001093,P00062,1,71.15,SKU-00062,0.00,0.00,2026-03-13T19:22:38
L20260315-0002795,O20260315-001093,P00003,1,137.80,SKU-00003,0.00,0.20,2026-03-08T20:20:25
L20260315-0002796,O20260315-001093,P00116,3,120.21,SKU-00116,0.00,0.00,2026-03-15T22:06:41
L20260315-0002797,O20260315-001093,P00075,1,144.44,SKU-00075,3.00,0.20,2026-03-10T06:52:48
L20260315-0002798,O20260315-001094,P00038,1,122.02,SKU-00038,5.00,0.07,2026-03-11T06:50:55
L20260315-0002799,O20260315-001094,P00066,2,10.75,SKU-00066,0.00,0.10,2026-03-14T10:18:46
L20260315-0002800,O20260315-001095,P00039,2,49.71,SKU-00039,5.00,0.00,2026-03-14T14:40:03
L20260315-0002801,O20260315-001095,P00115,3,138.97,SKU-00115,3.00,0.00,2026-03-13T15:09:34
L20260315-0002802,O20260315-001095,P00024,1,218.72,SKU-00024,1.50,0.00,2026-03-15T19:15:42
L20260315-0002803,O20260315-001095,P00094,3,184.89,SKU-00094,0.00,0.25,2026-03-12T09:40:45
L20260315-0002804,O20260315-001096,P00023,1,170.56,SKU-00023,0.00,0.00,2026-03-09T21:43:00
L20260315-0002805,O20260315-001097,P00048,3,71.42,SKU-00048,0.00,0.07,2026-03-11T22:04:34
L20260315-0002806,O20260315-001098,P00018,1,7.46,SKU-00018,0.00,0.20,2026-03-09T05:23:09
L20260315-0002807,O20260315-001098,P00084,1,90.61,SKU-00084,0.00,0.00,2026-03-12T03:06:27
L20260315-0002808,O20260315-001099,P00073,1,35.38,SKU-00073,1.50,0.07,2026-03-12T05:56:24
L20260315-0002809,O20260315-001099,P00064,1,62.69,SKU-00064,0.00,0.00,2026-03-09T14:32:07
L20260315-0002810,O20260315-001099,P00015,2,114.30,SKU-00015,3.00,0.25,2026-03-09T23:08:38
L20260315-0002811,O20260315-001099,P00001,1,124.15,SKU-00001,1.50,0.00,2026-03-10T06:32:25
L20260315-0002812,O20260315-001100,P00097,1,166.80,SKU-00097,3.00,0.20,2026-03-12T00:10:10
L20260315-0002813,O20260315-001100,P00006,3,30.11,SKU-00006,5.00,0.10,2026-03-14T15:43:51
L20260315-0002814,O20260315-001100,P00120,1,94.97,SKU-00120,0.00,0.00,2026-03-11T21:00:23
L20260315-0002815,O20260315-001101,P00010,3,171.97,SKU-00010,5.00,0.10,2026-03-14T01:42:21
L20260315-0002816,O20260315-001101,P00004,2,182.76,SKU-00004,1.50,0.10,2026-03-15T16:16:32
L20260315-0002817,O20260315-001102,P00021,3,85.06,SKU-00021,1.50,0.20,2026-03-08T14:03:14
L20260315-0002818,O20260315-001102,P00101,2,276.64,SKU-00101,5.00,0.10,2026-03-09T14:39:31
L20260315-0002819,O20260315-001102,P00007,1,29.79,SKU-00007,5.00,0.07,2026-03-15T20:28:25
L20260315-0002820,O20260315-001103,P00085,1,67.36,SKU-00085,0.00,0.10,2026-03-12T10:20:45
L20260315-0002821,O20260315-001103,P00115,1,138.97,SKU-00115,0.00,0.20,2026-03-13T14:10:29
L20260315-0002822,O20260315-001103,P00083,3,60.39,SKU-00083,3.00,0.07,2026-03-13T17:11:36
L20260315-0002823,O20260315-001104,P00016,3,230.65,SKU-00016,0.00,0.07,2026-03-15T11:06:05
L20260315-0002824,O20260315-001105,P00009,1,17.27,SKU-00009,1.50,0.00,2026-03-09T06:54:24
L20260315-0002825,O20260315-001105,P00069,1,154.69,SKU-00069,0.00,0.25,2026-03-15T11:01:11
L20260315-0002826,O20260315-001106,P00006,2,30.11,SKU-00006,1.50,0.00,2026-03-14T21:30:40
L20260315-0002827,O20260315-001106,P00092,1,168.91,SKU-00092,3.00,0.00,2026-03-14T14:03:42
L20260315-0002828,O20260315-001106,P00051,1,88.95,SKU-00051,5.00,0.10,2026-03-08T18:27:58
L20260315-0002829,O20260315-001107,P00025,1,138.71,SKU-00025,0.00,0.10,2026-03-15T14:47:42
L20260315-0002830,O20260315-001107,P00078,1,203.66,SKU-00078,1.50,0.10,2026-03-14T07:34:42
L20260315-0002831,O20260315-001107,P00067,1,109.86,SKU-00067,5.00,0.00,2026-03-14T03:48:54
L20260315-0002832,O20260315-001107,P00036,1,314.75,SKU-00036,3.00,0.20,2026-03-09T14:28:26
L20260315-0002833,O20260315-001108,P00075,1,144.44,SKU-00075,0.00,0.10,2026-03-09T23:01:06
L20260315-0002834,O20260315-001109,P00005,3,30.97,SKU-00005,0.00,0.00,2026-03-08T13:19:21
L20260315-0002835,O20260315-001109,P00010,2,171.97,SKU-00010,3.00,0.00,2026-03-13T04:42:13
L20260315-0002836,O20260315-001109,P00072,1,143.56,SKU-00072,1.50,0.10,2026-03-12T09:28:32
L20260315-0002837,O20260315-001109,P00112,1,208.38,SKU-00112,3.00,0.20,2026-03-13T10:55:12
L20260315-0002838,O20260315-001110,P00008,3,137.16,SKU-00008,1.50,0.25,2026-03-13T17:17:33
L20260315-0002839,O20260315-001110,P00073,3,35.38,SKU-00073,3.00,0.07,2026-03-10T22:32:31
L20260315-0002840,O20260315-001111,P00059,1,6.15,SKU-00059,5.00,0.25,2026-03-12T06:40:46
L20260315-0002841,O20260315-001111,P00044,2,216.91,SKU-00044,0.00,0.07,2026-03-11T00:57:52
L20260315-0002842,O20260315-001112,P00074,3,101.93,SKU-00074,3.00,0.20,2026-03-12T22:38:51
L20260315-0002843,O20260315-001112,P00068,1,207.20,SKU-00068,3.00,0.10,2026-03-11T08:08:43
L20260315-0002844,O20260315-001113,P00032,3,78.43,SKU-00032,5.00,0.07,2026-03-10T23:48:25
L20260315-0002845,O20260315-001113,P00102,1,104.40,SKU-00102,0.00,0.07,2026-03-14T17:46:35
L20260315-0002846,O20260315-001113,P00054,2,190.10,SKU-00054,3.00,0.07,2026-03-13T15:15:21
L20260315-0002847,O20260315-001113,P00111,1,155.49,SKU-00111,0.00,0.10,2026-03-15T12:40:10
L20260315-0002848,O20260315-001114,P00110,1,85.31,SKU-00110,3.00,0.20,2026-03-12T07:17:49
L20260315-0002849,O20260315-001115,P00015,1,114.30,SKU-00015,0.00,0.00,2026-03-10T12:44:12
L20260315-0002850,O20260315-001116,P00113,1,185.01,SKU-00113,0.00,0.20,2026-03-12T12:10:51
L20260315-0002851,O20260315-001116,P00112,3,208.38,SKU-00112,5.00,0.20,2026-03-13T06:12:23
L20260315-0002852,O20260315-001116,P00059,1,6.15,SKU-00059,1.50,0.10,2026-03-11T11:23:51
L20260315-0002853,O20260315-001117,P00095,1,130.25,SKU-00095,0.00,0.10,2026-03-11T04:05:04
L20260315-0002854,O20260315-001118,P00060,1,274.02,SKU-00060,1.50,0.25,2026-03-11T09:36:21
L20260315-0002855,O20260315-001119,P00083,1,60.39,SKU-00083,0.00,0.00,2026-03-11T05:54:40
L20260315-0002856,O20260315-001119,P00099,1,80.35,SKU-00099,3.00,0.07,2026-03-14T11:04:10
L20260315-0002857,O20260315-001119,P00080,1,72.41,SKU-00080,0.00,0.20,2026-03-11T15:41:39
L20260315-0002858,O20260315-001119,P00023,1,170.56,SKU-00023,3.00,0.10,2026-03-13T18:38:56
L20260315-0002859,O20260315-001120,P00023,1,170.56,SKU-00023,3.00,0.07,2026-03-10T06:41:58
L20260315-0002860,O20260315-001120,P00080,3,72.41,SKU-00080,5.00,0.20,2026-03-10T20:36:51
L20260315-0002861,O20260315-001120,P00016,1,230.65,SKU-00016,0.00,0.00,2026-03-15T14:20:51
L20260315-0002862,O20260315-001120,P00016,1,230.65,SKU-00016,1.50,0.00,2026-03-12T08:30:56
L20260315-0002863,O20260315-001121,P00118,1,250.87,SKU-00118,0.00,0.10,2026-03-08T17:10:16
L20260315-0002864,O20260315-001121,P00042,1,93.45,SKU-00042,0.00,0.00,2026-03-14T04:16:25
L20260315-0002865,O20260315-001122,P00116,1,120.21,SKU-00116,3.00,0.25,2026-03-09T05:19:13
L20260315-0002866,O20260315-001122,P00096,1,48.69,SKU-00096,0.00,0.10,2026-03-09T00:27:26
L20260315-0002867,O20260315-001122,P00095,3,130.25,SKU-00095,3.00,0.00,2026-03-15T12:51:55
L20260315-0002868,O20260315-001123,P00032,2,78.43,SKU-00032,1.50,0.25,2026-03-14T04:51:54
L20260315-0002869,O20260315-001123,P00102,1,104.40,SKU-00102,5.00,0.20,2026-03-15T12:21:00
L20260315-0002870,O20260315-001123,P00055,1,102.20,SKU-00055,1.50,0.20,2026-03-14T11:37:00
L20260315-0002871,O20260315-001123,P00014,1,22.31,SKU-00014,0.00,0.10,2026-03-15T04:46:12
L20260315-0002872,O20260315-001124,P00054,1,190.10,SKU-00054,0.00,0.10,2026-03-15T05:58:30
L20260315-0002873,O20260315-001125,P00072,3,143.56,SKU-00072,5.00,0.20,2026-03-12T20:08:07
L20260315-0002874,O20260315-001125,P00119,1,289.27,SKU-00119,0.00,0.25,2026-03-09T02:16:47
L20260315-0002875,O20260315-001126,P00019,1,267.61,SKU-00019,0.00,0.20,2026-03-09T12:39:38
L20260315-0002876,O20260315-001126,P00105,2,262.46,SKU-00105,5.00,0.10,2026-03-13T01:59:03
L20260315-0002877,O20260315-001126,P00083,1,60.39,SKU-00083,1.50,0.00,2026-03-11T08:08:16
L20260315-0002878,O20260315-001127,P00002,2,112.31,SKU-00002,0.00,0.20,2026-03-13T07:45:54
L20260315-0002879,O20260315-001127,P00069,2,154.69,SKU-00069,0.00,0.10,2026-03-10T05:33:45
L20260315-0002880,O20260315-001127,P00119,1,289.27,SKU-00119,5.00,0.25,2026-03-11T14:20:42
L20260315-0002881,O20260315-001127,P00061,2,230.08,SKU-00061,0.00,0.20,2026-03-13T18:14:01
L20260315-0002882,O20260315-001128,P00041,2,243.67,SKU-00041,3.00,0.25,2026-03-08T21:52:38
L20260315-0002883,O20260315-001128,P00083,3,60.39,SKU-00083,0.00,0.20,2026-03-08T13:01:30
L20260315-0002884,O20260315-001128,P00040,1,69.60,SKU-00040,0.00,0.10,2026-03-12T19:17:46
L20260315-0002885,O20260315-001129,P00041,1,243.67,SKU-00041,1.50,0.07,2026-03-15T07:21:51
L20260315-0002886,O20260315-001130,P00095,1,130.25,SKU-00095,0.00,0.25,2026-03-10T17:40:26
L20260315-0002887,O20260315-001130,P00080,2,72.41,SKU-00080,3.00,0.00,2026-03-09T06:22:19
L20260315-0002888,O20260315-001130,P00087,2,108.17,SKU-00087,3.00,0.00,2026-03-08T10:54:05
L20260315-0002889,O20260315-001130,P00103,1,131.37,SKU-00103,0.00,0.00,2026-03-14T16:18:08
L20260315-0002890,O20260315-001131,P00022,1,70.70,SKU-00022,3.00,0.10,2026-03-11T03:33:01
L20260315-0002891,O20260315-001131,P00113,1,185.01,SKU-00113,1.50,0.10,2026-03-11T01:32:22
L20260315-0002892,O20260315-001131,P00101,3,276.64,SKU-00101,0.00,0.10,2026-03-09T11:15:21
L20260315-0002893,O20260315-001131,P00021,1,85.06,SKU-00021,0.00,0.20,2026-03-08T23:37:21
L20260315-0002894,O20260315-001132,P00106,2,154.38,SKU-00106,3.00,0.10,2026-03-10T14:57:14
L20260315-0002895,O20260315-001133,P00113,1,185.01,SKU-00113,5.00,0.10,2026-03-13T10:04:10
L20260315-0002896,O20260315-001133,P00022,1,70.70,SKU-00022,5.00,0.10,2026-03-09T14:50:37
L20260315-0002897,O20260315-001133,P00109,1,202.31,SKU-00109,0.00,0.20,2026-03-10T05:54:10
L20260315-0002898,O20260315-001133,P00110,2,85.31,SKU-00110,5.00,0.07,2026-03-11T18:43:48
L20260315-0002899,O20260315-001134,P00042,1,93.45,SKU-00042,0.00,0.25,2026-03-09T15:16:43
L20260315-0002900,O20260315-001134,P00112,3,208.38,SKU-00112,5.00,0.25,2026-03-15T04:03:52
L20260315-0002901,O20260315-001134,P00029,3,87.92,SKU-00029,1.50,0.10,2026-03-15T14:00:03
L20260315-0002902,O20260315-001134,P00072,1,143.56,SKU-00072,0.00,0.10,2026-03-14T04:18:09
L20260315-0002903,O20260315-001135,P00073,1,35.38,SKU-00073,3.00,0.10,2026-03-12T22:34:21
L20260315-0002904,O20260315-001135,P00009,1,17.27,SKU-00009,5.00,0.20,2026-03-09T22:15:21
L20260315-0002905,O20260315-001135,P00021,3,85.06,SKU-00021,1.50,0.20,2026-03-14T09:08:46
L20260315-0002906,O20260315-001135,P00056,1,179.45,SKU-00056,0.00,0.10,2026-03-15T16:22:09
L20260315-0002907,O20260315-001136,P00051,1,88.95,SKU-00051,0.00,0.10,2026-03-09T02:04:33
L20260315-0002908,O20260315-001137,P00068,2,207.20,SKU-00068,0.00,0.20,2026-03-13T16:11:41
L20260315-0002909,O20260315-001137,P00049,1,130.32,SKU-00049,5.00,0.07,2026-03-12T22:32:02
L20260315-0002910,O20260315-001137,P00037,1,162.77,SKU-00037,5.00,0.00,2026-03-08T02:51:56
L20260315-0002911,O20260315-001137,P00104,2,71.48,SKU-00104,0.00,0.07,2026-03-12T23:51:43
L20260315-0002912,O20260315-001138,P00008,3,137.16,SKU-00008,1.50,0.10,2026-03-11T02:33:41
L20260315-0002913,O20260315-001138,P00039,1,49.71,SKU-00039,3.00,0.20,2026-03-15T21:11:43
L20260315-0002914,O20260315-001139,P00081,3,102.43,SKU-00081,0.00,0.00,2026-03-12T15:58:35
L20260315-0002915,O20260315-001140,P00094,1,184.89,SKU-00094,0.00,0.00,2026-03-12T13:31:46
L20260315-0002916,O20260315-001141,P00064,2,62.69,SKU-00064,3.00,0.20,2026-03-12T13:21:48
L20260315-0002917,O20260315-001141,P00059,2,6.15,SKU-00059,1.50,0.10,2026-03-10T09:21:39
L20260315-0002918,O20260315-001141,P00114,1,246.88,SKU-00114,0.00,0.10,2026-03-14T19:21:51
L20260315-0002919,O20260315-001141,P00111,1,155.49,SKU-00111,0.00,0.10,2026-03-14T03:57:03
L20260315-0002920,O20260315-001142,P00049,3,130.32,SKU-00049,0.00,0.25,2026-03-10T11:13:15
L20260315-0002921,O20260315-001142,P00106,1,154.38,SKU-00106,5.00,0.25,2026-03-13T06:44:15
L20260315-0002922,O20260315-001143,P00084,1,90.61,SKU-00084,0.00,0.10,2026-03-14T09:41:33
