order_line_id,order_id,product_id,quantity,unit_price
L20260311-0000410,O20260311-000156,P00014,1,22.31
L20260311-0000411,O20260311-000157,P00098,3,27.94
L20260311-0000412,O20260311-000157,P00105,1,262.46
L20260311-0000413,O20260311-000157,P00001,1,124.15
L20260311-0000414,O20260311-000157,P00035,1,122.53
L20260311-0000415,O20260311-000158,P00101,1,276.64
L20260311-0000416,O20260311-000158,P00110,3,85.31
L20260311-0000417,O20260311-000158,P00092,3,168.91
L20260311-0000418,O20260311-000158,P00022,2,70.70
L20260311-0000419,O20260311-000159,P00116,3,120.21
L20260311-0000420,O20260311-000159,P00088,3,237.21
L20260311-0000421,O20260311-000160,P00090,2,34.54
L20260311-0000422,O20260311-000160,P00104,2,71.48
L20260311-0000423,O20260311-000161,P00093,1,184.63
L20260311-0000424,O20260311-000161,P00071,1,129.32
L20260311-0000425,O20260311-000161,P00102,3,104.40
L20260311-0000426,O20260311-000161,P00065,1,137.52
L20260311-0000427,O20260311-000162,P00007,1,29.79
L20260311-0000428,O20260311-000163,P00045,1,290.65
L20260311-0000429,O20260311-000163,P00095,1,130.25
L20260311-0000430,O20260311-000164,P00092,2,168.91
L20260311-0000431,O20260311-000164,P00017,2,188.62
L20260311-0000432,O20260311-000165,P00076,3,67.82
L20260311-0000433,O20260311-000165,P00055,2,102.20
L20260311-0000434,O20260311-000165,P00063,2,96.72
L20260311-0000435,O20260311-000165,P00061,1,230.08
L20260311-0000436,O20260311-000166,P00015,1,114.30
L20260311-0000437,O20260311-000166,P00016,1,230.65
L20260311-0000438,O20260311-000166,P00102,1,104.40
L20260311-0000439,O20260311-000166,P00040,1,69.60
L20260311-0000440,O20260311-000167,P00009,1,17.27
L20260311-0000441,O20260311-000167,P00044,2,216.91
L20260311-0000442,O20260311-000167,P00059,2,6.15
L20260311-0000443,O20260311-000168,P00050,1,15.11
L20260311-0000444,O20260311-000168,P00095,1,130.25
L20260311-0000445,O20260311-000168,P00099,1,80.35
L20260311-0000446,O20260311-000168,P00074,1,101.93
L20260311-0000447,O20260311-000169,P00016,3,230.65
L20260311-0000448,O20260311-000170,P00011,3,51.47
L20260311-0000449,O20260311-000170,P00111,1,155.49
L20260311-0000450,O20260311-000170,P00068,1,207.20
L20260311-0000451,O20260311-000170,P00022,1,70.70
L20260311-0000452,O20260311-000171,P00087,1,108.17
L20260311-0000453,O20260311-000171,P00008,1,137.16
L20260311-0000454,O20260311-000171,P00042,1,93.45
L20260311-0000455,O20260311-000171,P00077,3,157.08
L20260311-0000456,O20260311-000172,P00060,3,274.02
L20260311-0000457,O20260311-000172,P00030,1,214.54
L20260311-0000458,O20260311-000172,P00084,1,90.61
L20260311-0000459,O20260311-000173,P00101,1,276.64
L20260311-0000460,O20260311-000173,P00117,3,260.73
L20260311-0000461,O20260311-000174,P00084,1,90.61
L20260311-0000462,O20260311-000174,P00108,2,188.64
L20260311-0000463,O20260311-000174,P00069,3,154.69
L20260311-0000464,O20260311-000175,P00093,3,184.63
L20260311-0000465,O20260311-000175,P00041,1,243.67
L20260311-0000466,O20260311-000176,P00027,2,108.58
L20260311-0000467,O20260311-000176,P00119,1,289.27
L20260311-0000468,O20260311-000176,P00053,3,91.53
L20260311-0000469,O20260311-000177,P00115,2,138.97
L20260311-0000470,O20260311-000178,P00108,1,188.64
L20260311-0000471,O20260311-000178,P00029,1,87.92
L20260311-0000472,O20260311-000179,P00104,1,71.48
L20260311-0000473,O20260311-000179,P00116,3,120.21
L20260311-0000474,O20260311-000179,P00112,1,208.38
L20260311-0000475,O20260311-000180,P00009,3,17.27
L20260311-0000476,O20260311-000180,P00110,1,85.31
L20260311-0000477,O20260311-000181,P00088,3,237.21
L20260311-0000478,O20260311-000181,P00007,1,29.79
L20260311-0000479,O20260311-000181,P00060,2,274.02
L20260311-0000480,O20260311-000182,P00118,2,250.87
L20260311-0000481,O20260311-000182,P00043,1,58.92
L20260311-0000482,O20260311-000182,P00118,1,250.87
L20260311-0000483,O20260311-000183,P00004,2,182.76
L20260311-0000484,O20260311-000184,P00031,1,37.45
L20260311-0000485,O20260311-000184,P00080,2,72.41
L20260311-0000486,O20260311-000184,P00005,2,30.97
L20260311-0000487,O20260311-000184,P00057,1,50.52
L20260311-0000488,O20260311-000185,P00072,1,143.56
L20260311-0000489,O20260311-000186,P00030,3,214.54
L20260311-0000490,O20260311-000186,P00055,3,102.20
L20260311-0000491,O20260311-000186,P00004,2,182.76
L20260311-0000492,O20260311-000186,P00077,1,157.08
L20260311-0000493,O20260311-000187,P00054,2,190.10
L20260311-0000494,O20260311-000187,P00006,1,30.11
L20260311-0000495,O20260311-000187,P00046,1,153.99
L20260311-0000496,O20260311-000188,P00038,1,122.02
L20260311-0000497,O20260311-000188,P00105,3,262.46
L20260311-0000498,O20260311-000188,P00117,1,260.73
L20260311-0000499,O20260311-000189,P00077,1,157.08
L20260311-0000500,O20260311-000189,P00043,1,58.92
L20260311-0000501,O20260311-000189,P00001,1,124.15
L20260311-0000502,O20260311-000189,P00099,1,80.35
L20260311-0000503,O20260311-000190,P00002,1,112.31
L20260311-0000504,O20260311-000190,P00025,3,138.71
L20260311-0000505,O20260311-000190,P00023,1,170.56
L20260311-0000506,O20260311-000191,P00003,1,137.80
L20260311-0000507,O20260311-000191,P00084,1,90.61
L20260311-0000508,O20260311-000192,P00085,1,67.36
L20260311-0000509,O20260311-000192,P00019,1,267.61
L20260311-0000510,O20260311-000192,P00077,2,157.08
L20260311-0000511,O20260311-000193,P00042,1,93.45
L20260311-0000512,O20260311-000193,P00063,1,96.72
L20260311-0000513,O20260311-000194,P00064,3,62.69
L20260311-0000514,O20260311-000194,P00089,2,221.76
L20260311-0000515,O20260311-000194,P00118,3,250.87
L20260311-0000516,O20260311-000195,P00051,1,88.95
L20260311-0000517,O20260311-000195,P00108,1,188.64
L20260311-0000518,O20260311-000196,P00057,3,50.52
L20260311-0000519,O20260311-000196,P00044,2,216.91
L20260311-0000520,O20260311-000196,P00064,1,62.69
L20260311-0000521,O20260311-000197,P00083,1,60.39
L20260311-0000522,O20260311-000197,P00083,1,60.39
L20260311-0000523,O20260311-000197,P00005,3,30.97
L20260311-0000524,O20260311-000198,P00096,1,48.69
L20260311-0000525,O20260311-000198,P00117,1,260.73
L20260311-0000526,O20260311-000198,P00052,3,257.89
L20260311-0000527,O20260311-000199,P00061,1,230.08
L20260311-0000528,O20260311-000199,P00044,1,216.91
L20260311-0000529,O20260311-000200,P00058,3,103.09
L20260311-0000530,O20260311-000200,P00040,1,69.60
L20260311-0000531,O20260311-000200,P00088,2,237.21
L20260311-0000532,O20260311-000200,P00101,1,276.64
L20260311-0000533,O20260311-000201,P00049,1,130.32
L20260311-0000534,O20260311-000201,P00043,3,58.92
L20260311-0000535,O20260311-000201,P00071,1,129.32
L20260311-0000536,O20260311-000201,P00009,2,17.27
L20260311-0000537,O20260311-000202,P00059,1,6.15
L20260311-0000538,O20260311-000203,P00051,1,88.95
L20260311-0000539,O20260311-000203,P00050,1,15.11
L20260311-0000540,O20260311-000203,P00086,2,41.51
L20260311-0000541,O20260311-000203,P00092,2,168.91
L20260311-0000542,O20260311-000204,P00078,1,203.66
L20260311-0000543,O20260311-000204,P00006,1,30.11
L20260311-0000544,O20260311-000204,P00102,1,104.40
L20260311-0000545,O20260311-000204,P00116,3,120.21
L20260311-0000546,O20260311-000205,P00051,1,88.95
L20260311-0000547,O20260311-000206,P00090,1,34.54
L20260311-0000548,O20260311-000207,P00065,1,137.52
L20260311-0000549,O20260311-000208,P00060,1,274.02
L20260311-0000550,O20260311-000209,P00051,1,88.95
L20260311-0000551,O20260311-000209,P00042,2,93.45
L20260311-0000552,O20260311-000210,P00092,2,168.91
L20260311-0000553,O20260311-000210,P00003,3,137.80
L20260311-0000554,O20260311-000211,P00022,1,70.70
L20260311-0000555,O20260311-000211,P00028,1,263.53
L20260311-0000556,O20260311-000211,P00082,3,141.76
L20260311-0000557,O20260311-000211,P00001,1,124.15
L20260311-0000558,O20260311-000212,P00012,1,60.77
L20260311-0000559,O20260311-000212,P00088,1,237.21
L20260311-0000560,O20260311-000213,P00066,1,10.75
L20260311-0000561,O20260311-000213,P00070,2,82.95
L20260311-0000562,O20260311-000213,P00042,1,93.45
L20260311-0000563,O20260311-000213,P00059,1,6.15
L20260311-0000564,O20260311-000214,P00053,1,91.53
L20260311-0000565,O20260311-000214,P00119,3,289.27
L20260311-0000566,O20260311-000215,P00087,1,108.17
L20260311-0000567,O20260311-000215,P00043,1,58.92
L20260311-0000568,O20260311-000215,P00095,1,130.25
L20260311-0000569,O20260311-000215,P00098,1,27.94
L20260311-0000570,O20260311-000216,P00018,1,7.46
L20260311-0000571,O20260311-000217,P00031,3,37.45
L20260311-0000572,O20260311-000218,P00067,2,109.86
L20260311-0000573,O20260311-000219,P00027,3,108.58
L20260311-0000574,O20260311-000219,P00067,1,109.86
L20260311-0000575,O20260311-000220,P00025,1,138.71
L20260311-0000576,O20260311-000221,P00031,3,37.45
L20260311-0000577,O20260311-000221,P00026,1,37.14
L20260311-0000578,O20260311-000222,P00082,1,141.76
L20260311-0000579,O20260311-000222,P00022,2,70.70
L20260311-0000580,O20260311-000222,P00062,1,71.15
L20260311-0000581,O20260311-000222,P00020,3,173.61
L20260311-0000582,O20260311-000223,P00049,3,130.32
L20260311-0000583,O20260311-000223,P00061,1,230.08
L20260311-0000584,O20260311-000223,P00094,1,184.89
L20260311-0000585,O20260311-000224,P00063,1,96.72
L20260311-0000586,O20260311-000224,P00050,3,15.11
L20260311-0000587,O20260311-000224,P00097,1,166.80
L20260311-0000588,O20260311-000224,P00050,2,15.11
L20260311-0000589,O20260311-000225,P00081,1,102.43
L20260311-0000590,O20260311-000225,P00032,3,78.43
L20260311-0000591,O20260311-000225,P00083,2,60.39
L20260311-0000592,O20260311-000226,P00022,2,70.70
L20260311-0000593,O20260311-000226,P00053,1,91.53
L20260311-0000594,O20260311-000226,P00027,2,108.58
L20260311-0000595,O20260311-000226,P00009,2,17.27
L20260311-0000596,O20260311-000227,P00048,1,71.42
L20260311-0000597,O20260311-000227,P00058,3,103.09
L20260311-0000598,O20260311-000228,P00034,2,159.22
L20260311-0000599,O20260311-000228,P00038,1,122.02
L20260311-0000600,O20260311-000229,P00062,2,71.15
L20260311-0000601,O20260311-000229,P00086,3,41.51
L20260311-0000602,O20260311-000230,P00078,3,203.66
L20260311-0000603,O20260311-000230,P00044,1,216.91
L20260311-0000604,O20260311-000230,P00049,3,130.32
L20260311-0000605,O20260311-000230,P00112,2,208.38
L20260311-0000606,O20260311-000231,P00048,2,71.42
L20260311-0000607,O20260311-000231,P00082,1,141.76
L20260311-0000608,O20260311-000232,P00030,3,214.54
L20260311-0000609,O20260311-000232,P00120,2,94.97
L20260311-0000610,O20260311-000232,P00019,3,267.61
L20260311-0000611,O20260311-000232,P00012,1,60.77
L20260311-0000612,O20260311-000233,P00032,1,78.43
L20260311-0000613,O20260311-000233,P00021,1,85.06
L20260311-0000614,O20260311-000234,P00115,1,138.97
L20260311-0000615,O20260311-000234,P00043,1,58.92
L20260311-0000616,O20260311-000234,P00117,2,260.73
L20260311-0000617,O20260311-000234,P00038,1,122.02
L20260311-0000618,O20260311-000235,P00096,1,48.69
L20260311-0000619,O20260311-000235,P00095,1,130.25
L20260311-0000620,O20260311-000236,P00103,1,131.37
L20260311-0000621,O20260311-000236,P00069,2,154.69
L20260311-0000622,O20260311-000236,P00059,1,6.15
L20260311-0000623,O20260311-000237,P00077,1,157.08
L20260311-0000624,O20260311-000238,P00081,1,102.43
L20260311-0000625,O20260311-000238,P00020,1,173.61
L20260311-0000626,O20260311-000238,P00039,1,49.71
L20260311-0000627,O20260311-000238,P00061,1,230.08
L20260311-0000628,O20260311-000239,P00090,1,34.54
L20260311-0000629,O20260311-000239,P00102,3,104.40
L20260311-0000630,O20260311-000239,P00018,2,7.46
L20260311-0000631,O20260311-000240,P00095,1,130.25
L20260311-0000632,O20260311-000240,P00019,2,267.61
L20260311-0000633,O20260311-000241,P00007,1,29.79
L20260311-0000634,O20260311-000241,P00052,1,257.89
L20260311-0000635,O20260311-000242,P00084,2,90.61
L20260311-0000636,O20260311-000242,P00057,1,50.52
L20260311-0000637,O20260311-000243,P00003,3,137.80
L20260311-0000638,O20260311-000243,P00013,3,90.80
L20260311-0000639,O20260311-000244,P00074,1,101.93
L20260311-0000640,O20260311-000244,P00102,3,104.40
L20260311-0000641,O20260311-000244,P00069,3,154.69
L20260311-0000642,O20260311-000245,P00024,3,218.72
L20260311-0000643,O20260311-000246,P00074,1,101.93
L20260311-0000644,O20260311-000246,P00065,1,137.52
L20260311-0000645,O20260311-000247,P00039,1,49.71
L20260311-0000646,O20260311-000247,P00089,1,221.76
L20260311-0000647,O20260311-000248,P00031,1,37.45
L20260311-0000648,O20260311-000249,P00076,1,67.82
L20260311-0000649,O20260311-000249,P00034,2,159.22
L20260311-0000650,O20260311-000250,P00089,1,221.76
L20260311-0000651,O20260311-000250,P00082,1,141.76
L20260311-0000652,O20260311-000250,P00041,2,243.67
L20260311-0000653,O20260311-000250,P00069,1,154.69
L20260311-0000654,O20260311-000251,P00117,1,260.73
L20260311-0000655,O20260311-000251,P00049,1,130.32
L20260311-0000656,O20260311-000251,P00113,1,185.01
L20260311-0000657,O20260311-000252,P00071,1,129.32
L20260311-0000658,O20260311-000252,P00050,1,15.11
L20260311-0000659,O20260311-000252,P00034,1,159.22
L20260311-0000660,O20260311-000253,P00007,1,29.79
L20260311-0000661,O20260311-000253,P00057,1,50.52
L20260311-0000662,O20260311-000253,P00092,1,168.91
L20260311-0000663,O20260311-000254,P00082,1,141.76
L20260311-0000664,O20260311-000255,P00096,1,48.69
L20260311-0000665,O20260311-000256,P00062,2,71.15
L20260311-0000666,O20260311-000256,P00025,1,138.71
L20260311-0000667,O20260311-000257,P00078,2,203.66
L20260311-0000668,O20260311-000258,P00066,1,10.75
L20260311-0000669,O20260311-000258,P00015,1,114.30
L20260311-0000670,O20260311-000259,P00034,1,159.22
L20260311-0000671,O20260311-000259,P00119,3,289.27
L20260311-0000672,O20260311-000259,P00079,2,97.49
L20260311-0000673,O20260311-000260,P00052,1,257.89
L20260311-0000674,O20260311-000260,P00068,3,207.20
L20260311-0000675,O20260311-000261,P00029,2,87.92
L20260311-0000676,O20260311-000261,P00024,3,218.72
L20260311-0000677,O20260311-000261,P00021,1,85.06
L20260311-0000678,O20260311-000262,P00015,1,114.30
L20260311-0000679,O20260311-000262,P00043,1,58.92
L20260311-0000680,O20260311-000263,P00063,3,96.72
L20260311-0000681,O20260311-000263,P00119,2,289.27
L20260311-0000682,O20260311-000263,P00045,3,290.65
L20260311-0000683,O20260311-000263,P00055,3,102.20
L20260311-0000684,O20260311-000264,P00098,2,27.94
L20260311-0000685,O20260311-000265,P00036,1,314.75
L20260311-0000686,O20260311-000265,P00101,1,276.64
L20260311-0000687,O20260311-000266,P00030,1,214.54
L20260311-0000688,O20260311-000266,P00019,2,267.61
L20260311-0000689,O20260311-000267,P00053,3,91.53
L20260311-0000690,O20260311-000267,P00008,3,137.16
L20260311-0000691,O20260311-000267,P00036,1,314.75
L20260311-0000692,O20260311-000267,P00001,1,124.15
L20260311-0000693,O20260311-000268,P00056,1,179.45
L20260311-0000694,O20260311-000269,P00086,1,41.51
L20260311-0000695,O20260311-000270,P00096,3,48.69
L20260311-0000696,O20260311-000270,P00027,3,108.58
L20260311-0000697,O20260311-000270,P00078,1,203.66
L20260311-0000698,O20260311-000271,P00010,3,171.97
L20260311-0000699,O20260311-000272,P00069,1,154.69
L20260311-0000700,O20260311-000272,P00033,3,222.37
L20260311-0000701,O20260311-000273,P00009,2,17.27
L20260311-0000702,O20260311-000273,P00090,1,34.54
L20260311-0000703,O20260311-000273,P00105,2,262.46
L20260311-0000704,O20260311-000273,P00066,2,10.75
L20260311-0000705,O20260311-000274,P00001,1,124.15
L20260311-0000706,O20260311-000274,P00091,3,176.65
L20260311-0000707,O20260311-000275,P00022,1,70.70
L20260311-0000708,O20260311-000276,P00114,1,246.88
L20260311-0000709,O20260311-000276,P00027,3,108.58
L20260311-0000710,O20260311-000277,P00011,3,51.47
L20260311-0000711,O20260311-000277,P00008,1,137.16
L20260311-0000712,O20260311-000277,P00069,3,154.69
L20260311-0000713,O20260311-000278,P00105,2,262.46
L20260311-0000714,O20260311-000278,P00104,2,71.48
L20260311-0000715,O20260311-000279,P00019,2,267.61
L20260311-0000716,O20260311-000279,P00111,1,155.49
L20260311-0000717,O20260311-000279,P00037,1,162.77
L20260311-0000718,O20260311-000280,P00009,1,17.27
L20260311-0000719,O20260311-000280,P00052,1,257.89
L20260311-0000720,O20260311-000281,P00003,1,137.80
L20260311-0000721,O20260311-000281,P00035,1,122.53
L20260311-0000722,O20260311-000281,P00105,1,262.46
L20260311-0000723,O20260311-000281,P00115,2,138.97
L20260311-0000724,O20260311-000282,P00070,1,82.95
L20260311-0000725,O20260311-000283,P00014,3,22.31
L20260311-0000726,O20260311-000283,P00055,2,102.20
L20260311-0000727,O20260311-000283,P00088,2,237.21
L20260311-0000728,O20260311-000284,P00046,1,153.99
L20260311-0000729,O20260311-000284,P00118,1,250.87
L20260311-0000730,O20260311-000284,P00043,3,58.92
L20260311-0000731,O20260311-000285,P00045,1,290.65
L20260311-0000732,O20260311-000285,P00092,1,168.91
L20260311-0000733,O20260311-000285,P00058,2,103.09
L20260311-0000734,O20260311-000286,P00042,1,93.45
L20260311-0000735,O20260311-000287,P00089,2,221.76
L20260311-0000736,O20260311-000287,P00050,2,15.11
L20260311-0000737,O20260311-000287,P00030,2,214.54
L20260311-0000738,O20260311-000287,P00089,1,221.76
L20260311-0000739,O20260311-000288,P00047,3,98.50
L20260311-0000740,O20260311-000289,P00109,1,202.31
L20260311-0000741,O20260311-000289,P00054,1,190.10
L20260311-0000742,O20260311-000289,P00090,1,34.54
L20260311-0000743,O20260311-000290,P00085,3,67.36
L20260311-0000744,O20260311-000291,P00011,1,51.47
L20260311-0000745,O20260311-000291,P00061,1,230.08
L20260311-0000746,O20260311-000292,P00101,1,276.64
L20260311-0000747,O20260311-000292,P00005,3,30.97
L20260311-0000748,O20260311-000292,P00055,2,102.20
L20260311-0000749,O20260311-000292,P00120,1,94.97
L20260311-0000750,O20260311-000293,P00080,1,72.41
L20260311-0000751,O20260311-000293,P00108,1,188.64
L20260311-0000752,O20260311-000293,P00106,2,154.38
L20260311-0000753,O20260311-000293,P00035,1,122.53
L20260311-0000754,O20260311-000294,P00004,1,182.76
L20260311-0000755,O20260311-000294,P00002,1,112.31
L20260311-0000756,O20260311-000294,P00031,1,37.45
L20260311-0000757,O20260311-000295,P00007,1,29.79
L20260311-0000758,O20260311-000296,P00065,1,137.52
L20260311-0000759,O20260311-000296,P00013,1,90.80
L20260311-0000760,O20260311-000296,P00020,1,173.61
L20260311-0000761,O20260311-000296,P00005,1,30.97
L20260311-0000762,O20260311-000297,P00092,1,168.91
L20260311-0000763,O20260311-000298,P00058,1,103.09
L20260311-0000764,O20260311-000298,P00006,2,30.11
L20260311-0000765,O20260311-000298,P00064,1,62.69
L20260311-0000766,O20260311-000299,P00064,1,62.69
L20260311-0000767,O20260311-000300,P00074,1,101.93
L20260311-0000768,O20260311-000300,P00059,1,6.15
L20260311-0000769,O20260311-000300,P00016,3,230.65
L20260311-0000770,O20260311-000301,P00057,1,50.52
L20260311-0000771,O20260311-000301,P00053,3,91.53
L20260311-0000772,O20260311-000302,P00090,3,34.54
L20260311-0000773,O20260311-000302,P00073,2,35.38
L20260311-0000774,O20260311-000303,P00060,2,274.02
L20260311-0000775,O20260311-000303,P00014,2,22.31
L20260311-0000776,O20260311-000303,P00044,3,216.91
L20260311-0000777,O20260311-000304,P00070,1,82.95
L20260311-0000778,O20260311-000305,P00008,1,137.16
L20260311-0000779,O20260311-000305,P00003,2,137.80
L20260311-0000780,O20260311-000305,P00036,2,314.75
L20260311-0000781,O20260311-000305,P00086,1,41.51
L20260311-0000782,O20260311-000306,P00022,1,70.70
L20260311-0000783,O20260311-000306,P00101,1,276.64
L20260311-0000784,O20260311-000306,P00115,3,138.97
L20260311-0000785,O20260311-000307,P00002,1,112.31
L20260311-0000786,O20260311-000307,P00087,2,108.17
L20260311-0000787,O20260311-000307,P00017,2,188.62
L20260311-0000788,O20260311-000308,P00090,3,34.54
L20260311-0000789,O20260311-000308,P00025,3,138.71
L20260311-0000790,O20260311-000308,P00040,3,69.60
L20260311-0000791,O20260311-000308,P00046,3,153.99
L20260311-0000792,O20260311-000309,P00055,1,102.20
L20260311-0000793,O20260311-000309,P00037,2,162.77
L20260311-0000794,O20260311-000309,P00014,1,22.31
L20260311-0000795,O20260311-000309,P00097,3,166.80
L20260311-0000796,O20260311-000310,P00086,1,41.51
L20260311-0000797,O20260311-000311,P00026,2,37.14
L20260311-0000798,O20260311-000312,P00001,1,124.15
L20260311-0000799,O20260311-000312,P00034,1,159.22
L20260311-0000800,O20260311-000312,P00004,1,182.76
L20260311-0000801,O20260311-000312,P00056,1,179.45
L20260311-0000802,O20260311-000313,P00103,3,131.37
L20260311-0000803,O20260311-000314,P00067,1,109.86
L20260311-0000804,O20260311-000314,P00065,1,137.52
L20260311-0000805,O20260311-000314,P00027,1,108.58
L20260311-0000806,O20260311-000315,P00004,3,182.76
L20260311-0000807,O20260311-000315,P00017,2,188.62
L20260311-0000808,O20260311-000316,P00025,3,138.71
L20260311-0000809,O20260311-000316,P00011,1,51.47
L20260311-0000810,O20260311-000316,P00077,1,157.08
L20260311-0000811,O20260311-000317,P00010,2,171.97
L20260311-0000812,O20260311-000318,P00053,1,91.53
L20260311-0000813,O20260311-000319,P00082,2,141.76
L20260311-0000814,O20260311-000319,P00085,3,67.36
L20260311-0000815,O20260311-000319,P00079,3,97.49
L20260311-0000816,O20260311-000320,P00025,3,138.71
L20260311-0000817,O20260311-000321,P00028,1,263.53
L20260311-0000818,O20260311-000321,P00011,1,51.47
L20260311-0000819,O20260311-000322,P00060,2,274.02
L20260311-0000820,O20260311-000322,P00026,1,37.14
L20260311-0000821,O20260311-000322,P00093,2,184.63
L20260311-0000822,O20260311-000323,P00080,1,72.41
L20260311-0000823,O20260311-000323,P00048,1,71.42
L20260311-0000824,O20260311-000323,P00053,1,91.53
L20260311-0000825,O20260311-000324,P00104,1,71.48
L20260311-0000826,O20260311-000324,P00085,1,67.36
L20260311-0000827,O20260311-000325,P00092,1,168.91
L20260311-0000828,O20260311-000326,P00037,3,162.77
L20260311-0000829,O20260311-000326,P00092,3,168.91
L20260311-0000830,O20260311-000326,P00041,1,243.67
L20260311-0000831,O20260311-000326,P00036,2,314.75
L20260311-0000832,O20260311-000327,P00031,3,37.45
L20260311-0000833,O20260311-000327,P00074,1,101.93
L20260311-0000834,O20260311-000327,P00069,3,154.69
L20260311-0000835,O20260311-000327,P00107,2,155.56
L20260311-0000836,O20260311-000328,P00064,3,62.69
L20260311-0000837,O20260311-000328,P00109,1,202.31
L20260311-0000838,O20260311-000328,P00106,1,154.38
L20260311-0000839,O20260311-000329,P00022,1,70.70
L20260311-0000840,O20260311-000329,P00034,1,159.22
L20260311-0000841,O20260311-000330,P00035,1,122.53
L20260311-0000842,O20260311-000330,P00111,1,155.49
L20260311-0000843,O20260311-000330,P00068,1,207.20
L20260311-0000844,O20260311-000330,P00094,2,184.89
L20260311-0000845,O20260311-000331,P00072,1,143.56
L20260311-0000846,O20260311-000331,P00002,1,112.31
L20260311-0000847,O20260311-000331,P00027,3,108.58
L20260311-0000848,O20260311-000332,P00109,3,202.31
L20260311-0000849,O20260311-000332,P00112,3,208.38
L20260311-0000850,O20260311-000333,P00022,1,70.70
L20260311-0000851,O20260311-000333,P00096,1,48.69
L20260311-0000852,O20260311-000333,P00061,3,230.08
L20260311-0000853,O20260311-000333,P00011,1,51.47
L20260311-0000854,O20260311-000334,P00007,2,29.79
L20260311-0000855,O20260311-000334,P00094,2,184.89
L20260311-0000856,O20260311-000334,P00036,3,314.75
L20260311-0000857,O20260311-000168,P00015,1,114.30
L20260311-0000858,O20260311-000168,P00009,3,17.27
L20260311-0000859,O20260311-000248,P00051,2,88.95
L20260311-0000860,O20260311-000248,P00101,1,276.64
L20260311-0000861,O20260311-000248,P00024,3,218.72
L20260311-0000862,O20260311-000248,P00041,1,243.67
L20260311-0000863,O20260311-000136,P00055,1,102.20
L20260311-0000864,O20260311-000136,P00098,1,27.94
L20260311-0000865,O20260311-000136,P00112,1,208.38
