product_id,sku,product_name,product_type,cost_price,brand,list_price,is_active,currency
P00092,SKU-00092,Product 92,beauty,68.52,Tailspin,168.91,true,GBP
P00071,SKU-00071,Product 71,beauty,100.77,Tailspin,129.32,true,USD
P00074,SKU-00074,Product 74,fashion,74.24,Fabrikam,101.93,true,EUR
P00046,SKU-00046,Product 46,beauty,94.65,Contoso,153.99,true,EUR
P00011,SKU-00011,Product 11,home,28.08,AdventureWorks,51.47,false,USD
P00062,SKU-00062,Product 62,home,32.30,AdventureWorks,71.15,true,EUR
P00100,SKU-00100,Product 100,home,103.01,Fabrikam,132.98,true,GBP
P00061,SKU-00061,Product 61,beauty,87.30,AdventureWorks,230.08,false,EUR
P00101,SKU-00101,Product 101,home,114.27,Northwind,276.64,true,EUR
P00042,SKU-00042,Product 42,beauty,67.77,Northwind,93.45,true,GBP
P00110,SKU-00110,Product 110,noos,31.89,Contoso,85.31,true,USD
P00012,SKU-00012,Product 12,home,32.23,Tailspin,60.77,false,EUR
P00055,SKU-00055,Product 55,home,53.58,AdventureWorks,102.20,true,GBP
P00118,SKU-00118,Product 118,beauty,120.75,Northwind,250.87,true,GBP
P00032,SKU-00032,Product 32,noos,59.02,Tailspin,78.43,true,USD
P00031,SKU-00031,Product 31,fashion,28.86,Tailspin,37.45,true,USD
P00093,SKU-00093,Product 93,home,109.34,AdventureWorks,184.63,true,GBP
P00067,SKU-00067,Product 67,noos,67.12,Contoso,109.86,false,USD
P00013,SKU-00013,Product 13,fashion,62.86,Northwind,90.80,true,GBP
P00015,SKU-00015,Product 15,home,82.92,Fabrikam,114.30,false,USD
P00003,SKU-00003,Product 3,noos,73.64,Tailspin,137.80,false,GBP
P00113,SKU-00113,Product 113,beauty,66.81,Contoso,185.01,true,GBP
P00049,SKU-00049,Product 49,home,50.06,Northwind,130.32,true,USD
P00001,SKU-00001,Product 1,fashion,77.99,Fabrikam,124.15,true,GBP
P00065,SKU-00065,Product 65,noos,55.91,AdventureWorks,137.52,true,GBP
P00050,SKU-00050,Product 50,beauty,7.96,Fabrikam,15.11,true,EUR
P00052,SKU-00052,Product 52,home,114.04,Fabrikam,257.89,true,GBP
P00119,SKU-00119,Product 119,fashion,119.70,Northwind,289.27,true,EUR
P00083,SKU-00083,Product 83,beauty,31.50,AdventureWorks,60.39,true,USD
P00077,SKU-00077,Product 77,home,62.44,AdventureWorks,157.08,true,EUR
P00005,SKU-00005,Product 5,fashion,13.87,Fabrikam,30.97,true,GBP
P00060,SKU-00060,Product 60,fashion,110.39,Contoso,274.02,true,EUR
P00029,SKU-00029,Product 29,noos,61.02,Northwind,87.92,true,EUR
P00081,SKU-00081,Product 81,beauty,41.36,Fabrikam,102.43,true,EUR
P00095,SKU-00095,Product 95,noos,67.81,AdventureWorks,130.25,false,EUR
P00109,SKU-00109,Product 109,beauty,100.44,Fabrikam,202.31,true,EUR
P00090,SKU-00090,Product 90,fashion,24.98,AdventureWorks,34.54,true,EUR
P00028,SKU-00028,Product 28,fashion,103.85,Tailspin,263.53,true,USD
P00106,SKU-00106,Product 106,beauty,63.90,AdventureWorks,154.38,true,EUR
P00051,SKU-00051,Product 51,beauty,33.18,Tailspin,88.95,true,EUR
P00079,SKU-00079,Product 79,beauty,59.83,Tailspin,97.49,true,USD
P00064,SKU-00064,Product 64,noos,48.12,Contoso,62.69,false,EUR
P00063,SKU-00063,Product 63,home,36.79,Fabrikam,96.72,true,USD
P00044,SKU-00044,Product 44,fashion,82.96,Tailspin,216.91,false,GBP
P00080,SKU-00080,Product 80,beauty,31.91,Tailspin,72.41,true,USD
P00054,SKU-00054,Product 54,noos,113.05,Tailspin,190.10,true,EUR
P00034,SKU-00034,Product 34,beauty,75.66,Tailspin,159.22,true,EUR
P00099,SKU-00099,Product 99,beauty,41.02,Tailspin,80.35,false,USD
P00087,SKU-00087,Product 87,home,64.62,Contoso,108.17,true,USD
P00082,SKU-00082,Product 82,fashion,106.03,Contoso,141.76,false,EUR
P00047,SKU-00047,Product 47,noos,58.34,Fabrikam,98.50,true,USD
P00076,SKU-00076,Product 76,fashion,38.63,Northwind,67.82,false,GBP
P00002,SKU-00002,Product 2,fashion,89.79,AdventureWorks,112.31,true,USD
P00022,SKU-00022,Product 22,noos,30.13,Northwind,70.70,true,USD
P00102,SKU-00102,Product 102,home,55.02,Tailspin,104.40,false,USD
P00045,SKU-00045,Product 45,noos,111.35,Contoso,290.65,true,USD
P00008,SKU-00008,Product 8,home,77.56,Fabrikam,137.16,true,GBP
P00066,SKU-00066,Product 66,home,4.19,AdventureWorks,10.75,false,GBP
P00019,SKU-00019,Product 19,noos,98.57,AdventureWorks,267.61,true,EUR
P00019,SKU-00019,Product 19,noos,98.57,AdventureWorks,267.61,true,EUR
P00017,SKU-00017,Product 17,noos,77.94,Fabrikam,188.62,true,GBP
P00055,SKU-00055,Product 55,home,53.58,AdventureWorks,102.20,true,GBP
P00045,SKU-00045,Product 45,noos,111.35,Contoso,290.65,true,USD
,???,BROKEN_PRODUCT,unknown,not_a_number,???,-19.99,maybe,USDX
this,is,a,malformed,row,with,too,many,columns,boom
