refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260314-0000286,L20260314-0002556,O20260314-001005,2026-03-14T09:12:05,89.11,customer_remorse,approved
R20260314-0000287,L20260314-0002580,O20260314-001013,2026-03-09T11:50:48,68.99,other,approved
R20260314-0000288,L20260314-0002582,O20260314-001014,2026-03-11T05:02:10,49.76,customer_remorse,pending
R20260314-0000289,L20260314-0002583,O20260314-001014,2026-03-11T21:43:46,329.37,late_delivery,rejected
R20260314-0000290,L20260314-0002589,O20260314-001016,2026-03-11T17:35:40,45.71,customer_remorse,rejected
R20260314-0000291,L20260314-0002607,O20260314-001025,2026-03-06T22:05:11,32.10,wrong_size,approved
R20260314-0000292,L20260314-0002615,O20260314-001028,2026-03-06T06:49:43,110.39,late_delivery,pending
R20260314-0000293,L20260314-0002645,O20260314-000896,2026-03-08T18:48:00,3.15,other,rejected
R20260314-0000294,L20260314-0002522,O20260314-000989,2026-03-07T09:45:56,122.57,other,pending
R20260314-0000294,L20260314-0002522,O20260314-000989,2026-03-07T09:45:56,122.57,other,pending
R20260314-0000285,L20260314-0002554,O20260314-001004,2026-03-05T11:48:00,129.04,wrong_size,rejected
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,,unknown_state
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
