refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status,new_refund_processor,new_case_id
R20260312-0000131,L20260312-0001077,O20260312-000412,2026-03-11T01:16:21,112.39,damaged,approved,legacy,legacy
R20260312-0000132,L20260312-0001098,O20260312-000423,2026-03-09T18:35:14,35.06,wrong_size,pending,B,A
R20260312-0000133,L20260312-0001111,O20260312-000428,2026-03-05T14:59:17,154.36,damaged,pending,,
R20260312-0000134,L20260312-0001131,O20260312-000436,2026-03-11T14:49:32,12.40,customer_remorse,approved,C,legacy
R20260312-0000135,L20260312-0001159,O20260312-000446,2026-03-12T02:20:07,213.66,wrong_size,approved,C,
R20260312-0000136,L20260312-0001171,O20260312-000451,2026-03-11T14:45:12,60.61,late_delivery,pending,,B
R20260312-0000137,L20260312-0001173,O20260312-000452,2026-03-03T21:23:41,79.12,damaged,approved,C,
R20260312-0000138,L20260312-0001176,O20260312-000454,2026-03-08T21:39:13,218.51,wrong_size,rejected,C,B
R20260312-0000139,L20260312-0001177,O20260312-000454,2026-03-03T03:00:17,341.02,wrong_size,approved,B,B
R20260312-0000140,L20260312-0001184,O20260312-000457,2026-03-02T19:58:06,56.41,late_delivery,rejected,B,B
R20260312-0000141,L20260312-0001196,O20260312-000464,2026-03-05T18:36:00,10.10,damaged,pending,B,B
R20260312-0000142,L20260312-0001201,O20260312-000465,2026-03-05T15:16:02,83.57,late_delivery,pending,legacy,A
R20260312-0000143,L20260312-0001213,O20260312-000471,2026-03-05T12:48:54,48.72,late_delivery,pending,A,legacy
R20260312-0000144,L20260312-0001218,O20260312-000473,2026-03-06T10:16:08,20.24,customer_remorse,approved,C,C
R20260312-0000145,L20260312-0001230,O20260312-000478,2026-03-12T18:02:41,1.27,customer_remorse,rejected,B,C
R20260312-0000146,L20260312-0001231,O20260312-000479,2026-03-02T17:35:58,25.78,customer_remorse,rejected,legacy,legacy
R20260312-0000147,L20260312-0001233,O20260312-000480,2026-03-11T02:24:25,55.68,customer_remorse,approved,B,B
R20260312-0000148,L20260312-0001236,O20260312-000482,2026-03-07T14:21:48,105.73,other,rejected,B,C
R20260312-0000149,L20260312-0001252,O20260312-000489,2026-03-05T11:22:33,26.30,late_delivery,approved,,A
R20260312-0000150,L20260312-0001264,O20260312-000495,2026-03-10T03:41:50,3.14,other,rejected,,B
R20260312-0000151,L20260312-0001266,O20260312-000496,2026-03-04T03:33:36,99.73,customer_remorse,rejected,legacy,C
R20260312-0000152,L20260312-0001267,O20260312-000497,2026-03-11T13:06:49,91.00,damaged,rejected,B,C
R20260312-0000153,L20260312-0001289,O20260312-000506,2026-03-03T04:32:58,127.62,other,pending,A,
R20260312-0000154,L20260312-0001295,O20260312-000508,2026-03-04T04:10:46,9.07,customer_remorse,approved,B,
R20260312-0000155,L20260312-0001296,O20260312-000509,2026-03-09T19:18:34,39.85,late_delivery,rejected,B,A
R20260312-0000156,L20260312-0001301,O20260312-000510,2026-03-08T15:17:41,2.00,late_delivery,rejected,A,legacy
R20260312-0000157,L20260312-0001311,O20260312-000515,2026-03-02T23:00:08,40.01,damaged,rejected,A,C
R20260312-0000158,L20260312-0001313,O20260312-000515,2026-03-10T07:54:08,104.48,late_delivery,rejected,,
R20260312-0000159,L20260312-0001328,O20260312-000523,2026-03-12T11:45:50,44.64,other,approved,C,A
R20260312-0000160,L20260312-0001340,O20260312-000527,2026-03-02T23:04:30,5.41,wrong_size,pending,B,A
R20260312-0000161,L20260312-0001342,O20260312-000528,2026-03-03T23:33:13,146.98,damaged,approved,,C
R20260312-0000162,L20260312-0001347,O20260312-000531,2026-03-10T04:36:05,51.47,late_delivery,approved,B,legacy
R20260312-0000163,L20260312-0001349,O20260312-000532,2026-03-06T17:56:23,3.72,customer_remorse,pending,C,A
R20260312-0000164,L20260312-0001356,O20260312-000535,2026-03-06T11:23:03,167.31,wrong_size,rejected,legacy,C
R20260312-0000165,L20260312-0001369,O20260312-000541,2026-03-06T05:29:12,132.30,late_delivery,approved,B,A
R20260312-0000166,L20260312-0001373,O20260312-000542,2026-03-08T06:50:26,254.27,late_delivery,rejected,A,B
R20260312-0000167,L20260312-0001394,O20260312-000550,2026-03-02T12:16:14,185.01,late_delivery,rejected,,B
R20260312-0000168,L20260312-0001404,O20260312-000552,2026-03-09T07:16:12,36.52,damaged,rejected,,A
R20260312-0000169,L20260312-0001406,O20260312-000554,2026-03-02T16:31:25,26.01,damaged,pending,legacy,C
R20260312-0000170,L20260312-0001440,O20260312-000566,2026-03-12T18:21:59,72.13,other,pending,,B
R20260312-0000171,L20260312-0001453,O20260312-000573,2026-03-08T04:15:23,406.20,other,approved,legacy,
R20260312-0000172,L20260312-0001470,O20260312-000581,2026-03-09T21:49:29,41.46,late_delivery,approved,C,
R20260312-0000173,L20260312-0001473,O20260312-000582,2026-03-02T23:07:31,32.93,other,pending,A,C
R20260312-0000174,L20260312-0001479,O20260312-000585,2026-03-08T10:10:13,255.88,wrong_size,rejected,C,
R20260312-0000175,L20260312-0001489,O20260312-000444,2026-03-02T05:55:41,61.17,damaged,rejected,A,C
R20260312-0000176,L20260312-0001505,O20260312-000368,2026-03-07T04:52:28,74.05,other,approved,C,C
R20260312-0000177,L20260312-0001506,O20260312-000368,2026-03-07T20:33:42,322.01,damaged,approved,legacy,A
R20260312-0000178,L20260312-0001507,O20260312-000582,2026-03-02T05:46:08,12.77,damaged,pending,B,A
R20260312-0000179,L20260312-0001106,O20260312-000426,2026-03-06T19:22:22,21.42,late_delivery,rejected,C,A
R20260312-0000163,L20260312-0001349,O20260312-000532,2026-03-06T17:56:23,3.72,customer_remorse,pending,,C
R20260312-0000130,L20260312-0001055,O20260312-000403,2026-03-08T17:45:20,190.71,wrong_size,approved,A,A
R20260312-0000158,L20260312-0001313,O20260312-000515,2026-03-10T07:54:08,104.48,late_delivery,rejected,legacy,C
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,,unknown_state,C,
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
