order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,line_ts
L20260312-0000981,O20260312-000374,P00042,1,93.45,SKU-00042,5.00,2026-03-09T19:26:06
L20260312-0000982,O20260312-000375,P00088,1,237.21,SKU-00088,5.00,2026-03-05T02:32:11
L20260312-0000983,O20260312-000376,P00036,3,314.75,SKU-00036,3.00,2026-03-12T08:37:07
L20260312-0000984,O20260312-000376,P00090,3,34.54,SKU-00090,3.00,2026-03-05T09:54:10
L20260312-0000985,O20260312-000376,P00006,1,30.11,SKU-00006,5.00,2026-03-06T03:43:09
L20260312-0000986,O20260312-000376,P00108,1,188.64,SKU-00108,0.00,2026-03-05T07:00:24
L20260312-0000987,O20260312-000377,P00099,2,80.35,SKU-00099,0.00,2026-03-10T07:21:55
L20260312-0000988,O20260312-000377,P00088,3,237.21,SKU-00088,3.00,2026-03-05T22:58:07
L20260312-0000989,O20260312-000378,P00022,1,70.70,SKU-00022,0.00,2026-03-12T14:31:23
L20260312-0000990,O20260312-000379,P00003,3,137.80,SKU-00003,1.50,2026-03-11T13:30:02
L20260312-0000991,O20260312-000379,P00036,2,314.75,SKU-00036,5.00,2026-03-11T02:05:16
L20260312-0000992,O20260312-000379,P00113,1,185.01,SKU-00113,3.00,2026-03-09T04:07:01
L20260312-0000993,O20260312-000379,P00021,1,85.06,SKU-00021,5.00,2026-03-09T14:42:34
L20260312-0000994,O20260312-000380,P00072,1,143.56,SKU-00072,3.00,2026-03-10T18:26:07
L20260312-0000995,O20260312-000380,P00072,1,143.56,SKU-00072,0.00,2026-03-10T09:08:47
L20260312-0000996,O20260312-000380,P00090,2,34.54,SKU-00090,0.00,2026-03-12T16:50:00
L20260312-0000997,O20260312-000381,P00068,1,207.20,SKU-00068,5.00,2026-03-12T09:56:51
L20260312-0000998,O20260312-000382,P00041,1,243.67,SKU-00041,3.00,2026-03-09T21:30:30
L20260312-0000999,O20260312-000382,P00062,1,71.15,SKU-00062,0.00,2026-03-06T17:40:40
L20260312-0001000,O20260312-000383,P00019,1,267.61,SKU-00019,5.00,2026-03-11T15:32:04
L20260312-0001001,O20260312-000384,P00032,2,78.43,SKU-00032,1.50,2026-03-08T13:03:48
L20260312-0001002,O20260312-000384,P00056,1,179.45,SKU-00056,1.50,2026-03-12T06:42:46
L20260312-0001003,O20260312-000385,P00051,2,88.95,SKU-00051,5.00,2026-03-10T15:39:50
L20260312-0001004,O20260312-000385,P00066,2,10.75,SKU-00066,0.00,2026-03-08T15:49:04
L20260312-0001005,O20260312-000385,P00056,3,179.45,SKU-00056,0.00,2026-03-11T17:05:45
L20260312-0001006,O20260312-000386,P00099,1,80.35,SKU-00099,1.50,2026-03-06T08:29:41
L20260312-0001007,O20260312-000386,P00104,1,71.48,SKU-00104,1.50,2026-03-07T09:54:30
L20260312-0001008,O20260312-000387,P00050,3,15.11,SKU-00050,5.00,2026-03-10T15:21:05
L20260312-0001009,O20260312-000387,P00089,2,221.76,SKU-00089,1.50,2026-03-11T08:40:17
L20260312-0001010,O20260312-000387,P00120,1,94.97,SKU-00120,1.50,2026-03-09T10:59:57
L20260312-0001011,O20260312-000387,P00042,1,93.45,SKU-00042,5.00,2026-03-07T09:12:52
L20260312-0001012,O20260312-000388,P00067,2,109.86,SKU-00067,1.50,2026-03-06T21:42:12
L20260312-0001013,O20260312-000388,P00099,3,80.35,SKU-00099,0.00,2026-03-09T21:43:23
L20260312-0001014,O20260312-000388,P00092,3,168.91,SKU-00092,5.00,2026-03-09T14:37:33
L20260312-0001015,O20260312-000389,P00016,1,230.65,SKU-00016,0.00,2026-03-07T05:56:41
L20260312-0001016,O20260312-000389,P00104,2,71.48,SKU-00104,1.50,2026-03-06T15:45:17
L20260312-0001017,O20260312-000390,P00069,1,154.69,SKU-00069,0.00,2026-03-11T08:07:24
L20260312-0001018,O20260312-000390,P00105,3,262.46,SKU-00105,3.00,2026-03-11T06:51:59
L20260312-0001019,O20260312-000390,P00033,2,222.37,SKU-00033,3.00,2026-03-08T16:36:26
L20260312-0001020,O20260312-000390,P00026,1,37.14,SKU-00026,0.00,2026-03-05T19:06:30
L20260312-0001021,O20260312-000391,P00050,1,15.11,SKU-00050,0.00,2026-03-10T03:23:48
L20260312-0001022,O20260312-000391,P00103,1,131.37,SKU-00103,0.00,2026-03-08T03:35:34
L20260312-0001023,O20260312-000391,P00035,1,122.53,SKU-00035,0.00,2026-03-09T01:57:42
L20260312-0001024,O20260312-000391,P00073,1,35.38,SKU-00073,0.00,2026-03-07T19:46:17
L20260312-0001025,O20260312-000392,P00056,1,179.45,SKU-00056,0.00,2026-03-08T17:22:53
L20260312-0001026,O20260312-000392,P00031,1,37.45,SKU-00031,0.00,2026-03-07T07:10:51
L20260312-0001027,O20260312-000392,P00106,2,154.38,SKU-00106,0.00,2026-03-12T05:05:36
L20260312-0001028,O20260312-000393,P00104,2,71.48,SKU-00104,0.00,2026-03-09T13:14:15
L20260312-0001029,O20260312-000393,P00059,3,6.15,SKU-00059,0.00,2026-03-09T08:06:00
L20260312-0001030,O20260312-000393,P00031,1,37.45,SKU-00031,3.00,2026-03-06T14:13:14
L20260312-0001031,O20260312-000394,P00109,1,202.31,SKU-00109,3.00,2026-03-05T04:47:56
L20260312-0001032,O20260312-000395,P00109,3,202.31,SKU-00109,3.00,2026-03-08T06:56:43
L20260312-0001033,O20260312-000395,P00063,2,96.72,SKU-00063,5.00,2026-03-07T00:31:32
L20260312-0001034,O20260312-000395,P00079,2,97.49,SKU-00079,3.00,2026-03-09T11:09:45
L20260312-0001035,O20260312-000395,P00010,3,171.97,SKU-00010,3.00,2026-03-06T06:13:20
L20260312-0001036,O20260312-000396,P00052,1,257.89,SKU-00052,0.00,2026-03-09T12:38:56
L20260312-0001037,O20260312-000396,P00061,1,230.08,SKU-00061,5.00,2026-03-11T14:45:51
L20260312-0001038,O20260312-000396,P00003,2,137.80,SKU-00003,5.00,2026-03-07T12:01:31
L20260312-0001039,O20260312-000397,P00093,2,184.63,SKU-00093,3.00,2026-03-06T08:22:14
L20260312-0001040,O20260312-000397,P00035,1,122.53,SKU-00035,1.50,2026-03-10T05:14:54
L20260312-0001041,O20260312-000397,P00075,3,144.44,SKU-00075,5.00,2026-03-09T01:24:23
L20260312-0001042,O20260312-000397,P00007,1,29.79,SKU-00007,0.00,2026-03-11T19:44:35
L20260312-0001043,O20260312-000398,P00033,1,222.37,SKU-00033,5.00,2026-03-05T04:18:09
L20260312-0001044,O20260312-000399,P00036,1,314.75,SKU-00036,0.00,2026-03-08T05:33:04
L20260312-0001045,O20260312-000399,P00030,1,214.54,SKU-00030,5.00,2026-03-10T09:35:30
L20260312-0001046,O20260312-000399,P00055,1,102.20,SKU-00055,0.00,2026-03-09T19:45:04
L20260312-0001047,O20260312-000399,P00009,1,17.27,SKU-00009,1.50,2026-03-11T14:35:48
L20260312-0001048,O20260312-000400,P00093,1,184.63,SKU-00093,0.00,2026-03-10T07:50:00
L20260312-0001049,O20260312-000400,P00042,1,93.45,SKU-00042,1.50,2026-03-12T16:32:57
L20260312-0001050,O20260312-000400,P00008,2,137.16,SKU-00008,0.00,2026-03-12T15:09:54
L20260312-0001051,O20260312-000401,P00031,3,37.45,SKU-00031,1.50,2026-03-08T14:15:29
L20260312-0001052,O20260312-000401,P00023,1,170.56,SKU-00023,0.00,2026-03-12T02:24:08
L20260312-0001053,O20260312-000402,P00037,2,162.77,SKU-00037,5.00,2026-03-06T17:34:46
L20260312-0001054,O20260312-000403,P00114,3,246.88,SKU-00114,3.00,2026-03-07T19:36:45
L20260312-0001055,O20260312-000403,P00108,2,188.64,SKU-00108,1.50,2026-03-06T05:32:54
L20260312-0001056,O20260312-000403,P00064,1,62.69,SKU-00064,0.00,2026-03-11T19:23:53
L20260312-0001057,O20260312-000403,P00039,1,49.71,SKU-00039,5.00,2026-03-06T12:19:23
L20260312-0001058,O20260312-000404,P00041,2,243.67,SKU-00041,0.00,2026-03-09T13:49:40
L20260312-0001059,O20260312-000405,P00058,3,103.09,SKU-00058,0.00,2026-03-06T07:09:01
L20260312-0001060,O20260312-000405,P00116,1,120.21,SKU-00116,3.00,2026-03-05T12:29:45
L20260312-0001061,O20260312-000406,P00048,1,71.42,SKU-00048,3.00,2026-03-06T01:15:09
L20260312-0001062,O20260312-000406,P00115,1,138.97,SKU-00115,1.50,2026-03-12T11:29:58
L20260312-0001063,O20260312-000406,P00050,2,15.11,SKU-00050,0.00,2026-03-08T11:52:32
L20260312-0001064,O20260312-000406,P00071,2,129.32,SKU-00071,0.00,2026-03-11T11:21:12
L20260312-0001065,O20260312-000407,P00119,3,289.27,SKU-00119,0.00,2026-03-11T04:47:45
L20260312-0001066,O20260312-000407,P00072,1,143.56,SKU-00072,0.00,2026-03-09T20:33:23
L20260312-0001067,O20260312-000407,P00004,2,182.76,SKU-00004,3.00,2026-03-05T11:39:20
L20260312-0001068,O20260312-000408,P00048,1,71.42,SKU-00048,5.00,2026-03-11T14:48:31
L20260312-0001069,O20260312-000408,P00056,3,179.45,SKU-00056,0.00,2026-03-11T04:59:52
L20260312-0001070,O20260312-000408,P00049,1,130.32,SKU-00049,3.00,2026-03-10T04:48:58
L20260312-0001071,O20260312-000409,P00012,3,60.77,SKU-00012,3.00,2026-03-06T07:02:02
L20260312-0001072,O20260312-000409,P00039,1,49.71,SKU-00039,0.00,2026-03-06T18:12:26
L20260312-0001073,O20260312-000410,P00055,3,102.20,SKU-00055,5.00,2026-03-09T00:04:10
L20260312-0001074,O20260312-000410,P00110,1,85.31,SKU-00110,1.50,2026-03-11T07:29:58
L20260312-0001075,O20260312-000411,P00119,2,289.27,SKU-00119,0.00,2026-03-05T10:39:46
L20260312-0001076,O20260312-000411,P00048,2,71.42,SKU-00048,1.50,2026-03-07T20:42:20
L20260312-0001077,O20260312-000412,P00086,3,41.51,SKU-00086,5.00,2026-03-09T07:52:01
L20260312-0001078,O20260312-000412,P00056,2,179.45,SKU-00056,1.50,2026-03-08T15:46:25
L20260312-0001079,O20260312-000413,P00076,1,67.82,SKU-00076,1.50,2026-03-10T17:14:54
L20260312-0001080,O20260312-000414,P00113,1,185.01,SKU-00113,3.00,2026-03-11T22:34:32
L20260312-0001081,O20260312-000414,P00047,2,98.50,SKU-00047,3.00,2026-03-07T09:05:15
L20260312-0001082,O20260312-000415,P00080,2,72.41,SKU-00080,0.00,2026-03-12T13:25:52
L20260312-0001083,O20260312-000415,P00056,1,179.45,SKU-00056,3.00,2026-03-12T10:23:07
L20260312-0001084,O20260312-000416,P00031,2,37.45,SKU-00031,3.00,2026-03-09T12:27:54
L20260312-0001085,O20260312-000416,P00031,1,37.45,SKU-00031,0.00,2026-03-10T10:10:38
L20260312-0001086,O20260312-000416,P00042,3,93.45,SKU-00042,3.00,2026-03-11T02:05:50
L20260312-0001087,O20260312-000417,P00020,3,173.61,SKU-00020,3.00,2026-03-11T22:41:09
L20260312-0001088,O20260312-000418,P00001,2,124.15,SKU-00001,0.00,2026-03-10T09:53:23
L20260312-0001089,O20260312-000419,P00086,3,41.51,SKU-00086,0.00,2026-03-10T09:21:06
L20260312-0001090,O20260312-000419,P00005,3,30.97,SKU-00005,0.00,2026-03-12T06:50:10
L20260312-0001091,O20260312-000419,P00115,2,138.97,SKU-00115,3.00,2026-03-08T18:18:39
L20260312-0001092,O20260312-000420,P00107,3,155.56,SKU-00107,1.50,2026-03-11T14:38:54
L20260312-0001093,O20260312-000421,P00021,3,85.06,SKU-00021,0.00,2026-03-09T22:18:02
L20260312-0001094,O20260312-000421,P00051,1,88.95,SKU-00051,0.00,2026-03-05T11:32:19
L20260312-0001095,O20260312-000421,P00038,2,122.02,SKU-00038,3.00,2026-03-08T21:20:13
L20260312-0001096,O20260312-000422,P00060,1,274.02,SKU-00060,0.00,2026-03-11T01:37:56
L20260312-0001097,O20260312-000422,P00016,1,230.65,SKU-00016,0.00,2026-03-10T04:46:04
L20260312-0001098,O20260312-000423,P00099,1,80.35,SKU-00099,1.50,2026-03-09T22:30:27
L20260312-0001099,O20260312-000423,P00053,1,91.53,SKU-00053,5.00,2026-03-08T22:13:57
L20260312-0001100,O20260312-000423,P00061,1,230.08,SKU-00061,1.50,2026-03-06T06:22:04
L20260312-0001101,O20260312-000424,P00005,1,30.97,SKU-00005,3.00,2026-03-05T14:42:25
L20260312-0001102,O20260312-000425,P00058,1,103.09,SKU-00058,1.50,2026-03-07T18:55:44
L20260312-0001103,O20260312-000425,P00024,1,218.72,SKU-00024,0.00,2026-03-06T02:31:56
L20260312-0001104,O20260312-000425,P00043,1,58.92,SKU-00043,0.00,2026-03-09T16:38:31
L20260312-0001105,O20260312-000426,P00117,1,260.73,SKU-00117,0.00,2026-03-12T00:40:23
L20260312-0001106,O20260312-000426,P00092,1,168.91,SKU-00092,5.00,2026-03-07T00:06:30
L20260312-0001107,O20260312-000426,P00099,3,80.35,SKU-00099,0.00,2026-03-10T10:43:42
L20260312-0001108,O20260312-000427,P00068,2,207.20,SKU-00068,5.00,2026-03-09T13:49:46
L20260312-0001109,O20260312-000427,P00103,1,131.37,SKU-00103,3.00,2026-03-08T17:48:29
L20260312-0001110,O20260312-000427,P00006,1,30.11,SKU-00006,1.50,2026-03-06T18:40:50
L20260312-0001111,O20260312-000428,P00061,2,230.08,SKU-00061,3.00,2026-03-09T10:53:37
L20260312-0001112,O20260312-000429,P00058,1,103.09,SKU-00058,1.50,2026-03-09T21:57:37
L20260312-0001113,O20260312-000429,P00033,2,222.37,SKU-00033,1.50,2026-03-09T01:14:52
L20260312-0001114,O20260312-000430,P00031,2,37.45,SKU-00031,0.00,2026-03-12T02:51:51
L20260312-0001115,O20260312-000430,P00036,3,314.75,SKU-00036,5.00,2026-03-12T16:55:46
L20260312-0001116,O20260312-000430,P00102,1,104.40,SKU-00102,5.00,2026-03-05T18:13:34
L20260312-0001117,O20260312-000430,P00085,3,67.36,SKU-00085,1.50,2026-03-09T12:35:46
L20260312-0001118,O20260312-000431,P00023,3,170.56,SKU-00023,0.00,2026-03-06T02:21:41
L20260312-0001119,O20260312-000431,P00032,2,78.43,SKU-00032,0.00,2026-03-10T23:46:16
L20260312-0001120,O20260312-000431,P00022,1,70.70,SKU-00022,1.50,2026-03-10T13:13:46
L20260312-0001121,O20260312-000432,P00047,1,98.50,SKU-00047,1.50,2026-03-11T02:09:55
L20260312-0001122,O20260312-000432,P00016,1,230.65,SKU-00016,0.00,2026-03-08T05:07:48
L20260312-0001123,O20260312-000433,P00044,1,216.91,SKU-00044,5.00,2026-03-05T16:07:30
L20260312-0001124,O20260312-000433,P00086,3,41.51,SKU-00086,1.50,2026-03-07T02:22:11
L20260312-0001125,O20260312-000433,P00050,1,15.11,SKU-00050,5.00,2026-03-12T19:51:50
L20260312-0001126,O20260312-000433,P00099,1,80.35,SKU-00099,0.00,2026-03-10T10:10:33
L20260312-0001127,O20260312-000434,P00062,1,71.15,SKU-00062,0.00,2026-03-06T13:06:51
L20260312-0001128,O20260312-000434,P00066,2,10.75,SKU-00066,0.00,2026-03-09T19:40:30
L20260312-0001129,O20260312-000435,P00096,1,48.69,SKU-00096,3.00,2026-03-05T12:20:41
L20260312-0001130,O20260312-000436,P00026,1,37.14,SKU-00026,0.00,2026-03-09T00:36:22
L20260312-0001131,O20260312-000436,P00003,1,137.80,SKU-00003,1.50,2026-03-12T10:55:29
L20260312-0001132,O20260312-000436,P00011,1,51.47,SKU-00011,0.00,2026-03-11T18:08:30
L20260312-0001133,O20260312-000437,P00071,3,129.32,SKU-00071,1.50,2026-03-12T20:20:15
L20260312-0001134,O20260312-000437,P00040,3,69.60,SKU-00040,3.00,2026-03-12T03:03:19
L20260312-0001135,O20260312-000437,P00086,1,41.51,SKU-00086,1.50,2026-03-10T08:21:54
L20260312-0001136,O20260312-000437,P00053,1,91.53,SKU-00053,5.00,2026-03-11T15:19:47
L20260312-0001137,O20260312-000438,P00053,1,91.53,SKU-00053,0.00,2026-03-07T05:45:05
L20260312-0001138,O20260312-000438,P00112,1,208.38,SKU-00112,5.00,2026-03-11T11:07:06
L20260312-0001139,O20260312-000438,P00034,1,159.22,SKU-00034,1.50,2026-03-10T18:13:37
L20260312-0001140,O20260312-000439,P00030,1,214.54,SKU-00030,1.50,2026-03-11T22:35:59
L20260312-0001141,O20260312-000440,P00117,3,260.73,SKU-00117,1.50,2026-03-06T01:19:58
L20260312-0001142,O20260312-000440,P00113,2,185.01,SKU-00113,0.00,2026-03-08T23:03:08
L20260312-0001143,O20260312-000440,P00009,1,17.27,SKU-00009,5.00,2026-03-11T15:02:30
L20260312-0001144,O20260312-000441,P00052,3,257.89,SKU-00052,0.00,2026-03-10T18:35:57
L20260312-0001145,O20260312-000441,P00102,1,104.40,SKU-00102,0.00,2026-03-10T05:41:58
L20260312-0001146,O20260312-000441,P00073,1,35.38,SKU-00073,0.00,2026-03-09T23:45:08
L20260312-0001147,O20260312-000442,P00095,3,130.25,SKU-00095,0.00,2026-03-12T21:33:56
L20260312-0001148,O20260312-000442,P00035,3,122.53,SKU-00035,0.00,2026-03-09T01:27:13
L20260312-0001149,O20260312-000443,P00025,3,138.71,SKU-00025,1.50,2026-03-10T12:37:26
