product_id,sku,product_name,product_type,cost_price,category,brand,list_price,is_active,currency,created_at
P00092,SKU-00092,Product 92,beauty,64.31,skincare,Tailspin,168.91,true,GBP,2024-07-15T12:00:00
P00077,SKU-00077,Product 77,home,62.44,tops,AdventureWorks,157.08,true,EUR,2024-06-21T12:00:00
P00087,SKU-00087,Product 87,home,64.62,tops,Contoso,108.17,true,USD,2024-05-01T12:00:00
P00001,SKU-00001,Product 1,fashion,77.99,kitchen,Fabrikam,124.15,true,GBP,2024-02-22T12:00:00
P00035,SKU-00035,Product 35,noos,86.94,accessories,AdventureWorks,122.53,true,EUR,2024-06-25T12:00:00
P00102,SKU-00102,Product 102,home,55.02,bottoms,Tailspin,104.40,false,USD,2024-08-12T12:00:00
P00108,SKU-00108,Product 108,beauty,67.67,tops,Contoso,188.64,true,EUR,2024-02-21T12:00:00
P00101,SKU-00101,Product 101,home,114.27,skincare,Northwind,276.64,true,EUR,2024-09-21T12:00:00
P00070,SKU-00070,Product 70,noos,47.67,shoes,Fabrikam,82.95,false,EUR,2024-07-09T12:00:00
P00089,SKU-00089,Product 89,beauty,104.68,tops,Northwind,221.76,false,EUR,2024-08-11T12:00:00
P00041,SKU-00041,Product 41,fashion,100.12,tops,Fabrikam,243.67,true,USD,2024-12-15T12:00:00
P00031,SKU-00031,Product 31,fashion,28.86,skincare,Tailspin,37.45,true,USD,2024-01-19T12:00:00
P00082,SKU-00082,Product 82,fashion,106.03,skincare,Contoso,141.76,false,EUR,2024-09-25T12:00:00
P00060,SKU-00060,Product 60,fashion,110.39,shoes,Contoso,274.02,true,EUR,2024-10-27T12:00:00
P00115,SKU-00115,Product 115,noos,99.12,shoes,Northwind,138.97,true,USD,2024-08-04T12:00:00
P00066,SKU-00066,Product 66,home,4.19,accessories,AdventureWorks,10.75,false,GBP,2024-12-24T12:00:00
P00098,SKU-00098,Product 98,home,10.45,skincare,Tailspin,27.94,false,USD,2024-08-23T12:00:00
P00113,SKU-00113,Product 113,beauty,66.81,accessories,Contoso,185.01,true,GBP,2024-07-08T12:00:00
P00028,SKU-00028,Product 28,fashion,103.85,tops,Tailspin,263.53,true,USD,2024-03-14T12:00:00
P00045,SKU-00045,Product 45,noos,111.35,bottoms,Contoso,290.65,true,USD,2024-12-11T12:00:00
P00112,SKU-00112,Product 112,beauty,101.07,bottoms,AdventureWorks,208.38,true,EUR,2024-09-25T12:00:00
P00025,SKU-00025,Product 25,beauty,53.72,shoes,AdventureWorks,138.71,true,GBP,2024-11-21T12:00:00
P00009,SKU-00009,Product 9,noos,11.82,skincare,Contoso,17.27,false,EUR,2024-11-23T12:00:00
P00049,SKU-00049,Product 49,home,50.06,tops,Northwind,130.32,true,USD,2024-10-09T12:00:00
P00078,SKU-00078,Product 78,beauty,107.37,kitchen,Contoso,203.66,true,GBP,2024-09-25T12:00:00
P00065,SKU-00065,Product 65,noos,51.94,shoes,AdventureWorks,137.52,true,GBP,2024-07-16T12:00:00
P00034,SKU-00034,Product 34,beauty,75.66,kitchen,Tailspin,159.22,true,EUR,2024-04-22T12:00:00
P00116,SKU-00116,Product 116,beauty,64.77,tops,Contoso,120.21,true,USD,2024-08-26T12:00:00
P00090,SKU-00090,Product 90,fashion,23.64,accessories,AdventureWorks,34.54,true,EUR,2024-08-03T12:00:00
P00056,SKU-00056,Product 56,noos,108.49,kitchen,Northwind,179.45,true,USD,2024-04-22T12:00:00
P00105,SKU-00105,Product 105,beauty,116.53,skincare,Northwind,262.46,false,EUR,2024-01-07T12:00:00
P00029,SKU-00029,Product 29,noos,60.08,shoes,Northwind,87.92,true,EUR,2024-05-26T12:00:00
P00095,SKU-00095,Product 95,noos,67.81,tops,AdventureWorks,130.25,false,EUR,2024-01-08T12:00:00
P00003,SKU-00003,Product 3,noos,73.64,kitchen,Tailspin,137.80,false,GBP,2024-05-26T12:00:00
P00074,SKU-00074,Product 74,fashion,67.97,bottoms,Fabrikam,101.93,true,EUR,2024-10-22T12:00:00
P00119,SKU-00119,Product 119,fashion,119.70,shoes,Northwind,289.27,true,EUR,2024-03-23T12:00:00
P00096,SKU-00096,Product 96,home,37.06,kitchen,AdventureWorks,48.69,true,EUR,2024-11-19T12:00:00
P00071,SKU-00071,Product 71,beauty,100.77,tops,Tailspin,129.32,true,USD,2024-11-03T12:00:00
P00055,SKU-00055,Product 55,home,53.58,shoes,AdventureWorks,102.20,true,GBP,2024-08-26T12:00:00
P00046,SKU-00046,Product 46,beauty,94.65,kitchen,Contoso,153.99,true,EUR,2024-01-28T12:00:00
P00059,SKU-00059,Product 59,fashion,4.15,shoes,Contoso,6.15,false,USD,2024-09-08T12:00:00
P00036,SKU-00036,Product 36,fashion,112.51,shoes,Tailspin,314.75,true,USD,2024-09-07T12:00:00
P00063,SKU-00063,Product 63,home,36.79,accessories,Fabrikam,96.72,true,USD,2024-03-08T12:00:00
P00064,SKU-00064,Product 64,noos,48.12,kitchen,Contoso,62.69,false,EUR,2024-09-15T12:00:00
P00049,SKU-00049,Product 49,home,50.06,tops,Northwind,130.32,true,USD,2024-10-09T12:00:00
P00028,SKU-00028,Product 28,fashion,103.85,tops,Tailspin,263.53,true,USD,2024-03-14T12:00:00
,???,BROKEN_PRODUCT,unknown,not_a_number,,???,-19.99,maybe,USDX,2026-99-99T25:61:61
this,is,a,malformed,row,with,too,many,columns,boom
